"State","Year","Propulsion","Fraction"
"New Brunswick",2045,"PHEV",0.109652641338131
"New Brunswick",2046,"BEV",0.893786633729952
"New Brunswick",2046,"PHEV",0.106155041939955
"New Brunswick",2047,"BEV",0.896207598166467
"New Brunswick",2047,"PHEV",0.103732269235259
"New Brunswick",2048,"BEV",0.898504309267709
"New Brunswick",2048,"PHEV",0.101434969409688
"New Brunswick",2049,"BEV",0.900652770400135
"New Brunswick",2049,"PHEV",0.0992859384143084
"New Brunswick",2050,"BEV",0.902740373978654
"New Brunswick",2050,"PHEV",0.0971978302829634
"Newfoundland and Labrador",2021,"BEV",0.0890310370579968
"Newfoundland and Labrador",2021,"PHEV",0.0309544904235531
"Newfoundland and Labrador",2022,"BEV",0.116307993075832
"Newfoundland and Labrador",2022,"PHEV",0.028682619296118
"Newfoundland and Labrador",2023,"BEV",0.134473805653468
"Newfoundland and Labrador",2023,"PHEV",0.0355167208284428
"Newfoundland and Labrador",2024,"BEV",0.165982876468299
"Newfoundland and Labrador",2024,"PHEV",0.0290096963916706
"Newfoundland and Labrador",2025,"BEV",0.18744120874145
"Newfoundland and Labrador",2025,"PHEV",0.0325517556486254
"Newfoundland and Labrador",2026,"BEV",0.297563569996471
"Newfoundland and Labrador",2026,"PHEV",0.0524266922364013
"Newfoundland and Labrador",2027,"BEV",0.357239298408975
"Newfoundland and Labrador",2027,"PHEV",0.0727497784025284
"Newfoundland and Labrador",2028,"BEV",0.435924556708746
"Newfoundland and Labrador",2028,"PHEV",0.0740633393061713
"Newfoundland and Labrador",2029,"BEV",0.498864183508438
"Newfoundland and Labrador",2029,"PHEV",0.091122818094756
"Newfoundland and Labrador",2030,"BEV",0.57750419845118
"Newfoundland and Labrador",2030,"PHEV",0.102480376518155
"Newfoundland and Labrador",2031,"BEV",0.637320065824968
"Newfoundland and Labrador",2031,"PHEV",0.122661691205412
"Newfoundland and Labrador",2032,"BEV",0.680976264622944
"Newfoundland and Labrador",2032,"PHEV",0.139005139197108
"Newfoundland and Labrador",2033,"BEV",0.729988176751075
"Newfoundland and Labrador",2033,"PHEV",0.149990255564073
"Newfoundland and Labrador",2034,"BEV",0.785960286329472
"Newfoundland and Labrador",2034,"PHEV",0.154013535074328
"Newfoundland and Labrador",2035,"BEV",0.843431627819833
"Newfoundland and Labrador",2035,"PHEV",0.156536290338104
"Newfoundland and Labrador",2036,"BEV",0.850152048536328
"Newfoundland and Labrador",2036,"PHEV",0.14981219036315
"Newfoundland and Labrador",2037,"BEV",0.856651965107472
"Newfoundland and Labrador",2037,"PHEV",0.143309929670462
"Newfoundland and Labrador",2038,"BEV",0.862703992816305
"Newfoundland and Labrador",2038,"PHEV",0.137254349160717
"Newfoundland and Labrador",2039,"BEV",0.868126808431982
"Newfoundland and Labrador",2039,"PHEV",0.13182928109353
"Newfoundland and Labrador",2040,"BEV",0.872944090217096
"Newfoundland and Labrador",2040,"PHEV",0.127008568730487
"Newfoundland and Labrador",2041,"BEV",0.877175766246993
"Newfoundland and Labrador",2041,"PHEV",0.122774755235961
"Newfoundland and Labrador",2042,"BEV",0.880966666966809
"Newfoundland and Labrador",2042,"PHEV",0.118981763054776
"Newfoundland and Labrador",2043,"BEV",0.884343374617646
"Newfoundland and Labrador",2043,"PHEV",0.1156029830039
"Newfoundland and Labrador",2044,"BEV",0.887445826322306
"Newfoundland and Labrador",2044,"PHEV",0.112498502319438
"Newfoundland and Labrador",2045,"BEV",0.89028971374495
"Newfoundland and Labrador",2045,"PHEV",0.109652641338131
"Newfoundland and Labrador",2046,"BEV",0.893786633729952
"Newfoundland and Labrador",2046,"PHEV",0.106155041939955
"Newfoundland and Labrador",2047,"BEV",0.896207598166467
"Newfoundland and Labrador",2047,"PHEV",0.103732269235259
"Newfoundland and Labrador",2048,"BEV",0.898504309267709
