Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,NJ,246238.5346473,135859.93528243326,260994.85960190857,143871.4049779952,0,0,0,0,0,0,0,0,500,500,80725.39648790126,84316.56505854987,134412.5044673171,140588.62809233952,US
2050,NL,12688.805037299882,6743.887255720294,13558.808601188135,7204.608871991845,0,0,0,0,0,0,0,0,0,0,3863.1961671637255,4071.7087115002832,6670.424332325994,7037.365432088805,CA
2050,NM,51325.25403210199,28115.142252103924,54392.63085370911,29765.673812737587,0,0,0,0,0,0,0,0,0,0,16720.795869304242,17452.10623963924,27927.03519989125,29191.808931548716,US
2050,NS,24182.98051724078,13052.541575824034,25827.413693314287,13936.445630619253,0,0,0,0,0,0,0,0,0,0,7175.5211195070615,7558.474259022687,12196.733752420954,12860.604005522255,CA
2050,NT,906.9270852479455,473.7257041271147,968.642570929505,505.7900991962109,0,0,0,0,0,0,0,0,0,0,256.7773404584047,271.2250295528694,456.40657410718296,482.4195385363596,CA
2050,NU,34.097664155778546,20.529772470131395,34.097664155778546,20.529772470131395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA
2050,NV,105439.86443463278,58208.91584628696,111778.03767374043,61653.52750519424,51844.17665850198,36689.691791737976,1275056.035061486,698531.5877389259,3433.6815801877938,2724.8499961214598,64112.62131076041,35123.704313238566,216075,216075,30969.772893186917,32353.301075313557,51577.872341685084,53954.406499739795,US
2050,NY,397926.35457526037,219381.99148767474,420530.3707364097,231568.59507674567,10211.731766068571,7226.757474130208,251147.40084544418,137589.55516069752,182.4661709278538,144.7987920644254,3406.9508909099745,1866.4770408001175,10120,120,132969.35046152832,138487.47366705126,221731.5380712517,231292.3622099985,US
2050,OH,285297.56931290595,157084.46880457626,302385.33097397647,166338.21319921932,28979.32371644628,20508.42590273935,712717.6855377023,390457.9899221888,27204.04730197093,21588.1835441507,507945.40555385064,278274.7588101993,17600,54005.69026,94051.33953672988,98184.56247453121,156505.9820437791,163617.41555904737,US
2050,OK,122638.1875432079,66978.40228788553,130176.33476509115,71033.84368962108,0,0,0,0,0,0,0,0,45359,0,38276.58902748448,40033.505985159616,64365.71623727109,67413.18117761562,US
