Year,Scenario,Mineral,Minerals Lost From Non-Recovery,Cum_Tonne
2027,Increasing Batt Cap - Benchmark Chemistry,Lithium,263.81809418142643,469.51042567612444
2027,Increasing Batt Cap - High LFP Chemistry,Lithium,263.77403073173735,469.46724635650867
2028,Decreasing Batt Cap - Benchmark Chemistry,Lithium,434.45842017856427,896.7007018549643
2028,Decreasing Batt Cap - High LFP Chemistry,Lithium,434.33355408218534,896.5374759363065
2028,Increasing Batt Cap - Benchmark Chemistry,Lithium,449.54051233750283,919.0509380136273
2028,Increasing Batt Cap - High LFP Chemistry,Lithium,449.39624907609743,918.8634954326061
2029,Decreasing Batt Cap - Benchmark Chemistry,Lithium,693.362546331258,1590.0632481862224
2029,Decreasing Batt Cap - High LFP Chemistry,Lithium,693.0566163623366,1589.594092298643
2029,Increasing Batt Cap - Benchmark Chemistry,Lithium,725.5469485217893,1644.5978865354166
2029,Increasing Batt Cap - High LFP Chemistry,Lithium,725.1830793650605,1644.0465747976666
2030,Decreasing Batt Cap - Benchmark Chemistry,Lithium,1056.3202650265964,2646.383513212819
2030,Decreasing Batt Cap - High LFP Chemistry,Lithium,1055.6870323201338,2645.2811246187766
2030,Increasing Batt Cap - Benchmark Chemistry,Lithium,1118.621669180946,2763.2195557163623
2030,Increasing Batt Cap - High LFP Chemistry,Lithium,1117.8483054339824,2761.894880231649
2031,Decreasing Batt Cap - Benchmark Chemistry,Lithium,1588.037759574867,4234.421272787686
2031,Decreasing Batt Cap - High LFP Chemistry,Lithium,1586.8429763172353,4232.124100936012
2031,Increasing Batt Cap - Benchmark Chemistry,Lithium,1698.9578019015557,4462.1773576179185
2031,Increasing Batt Cap - High LFP Chemistry,Lithium,1697.464423394672,4459.359303626321
2032,Decreasing Batt Cap - Benchmark Chemistry,Lithium,2259.3573402897964,6493.778613077482
2032,Decreasing Batt Cap - High LFP Chemistry,Lithium,2257.229524543589,6489.353625479601
2032,Increasing Batt Cap - Benchmark Chemistry,Lithium,2446.1648963295047,6908.342253947423
2032,Increasing Batt Cap - High LFP Chemistry,Lithium,2443.4502763253213,6902.809579951642
2033,Decreasing Batt Cap - Benchmark Chemistry,Lithium,3090.965996953231,9584.744610030713
2033,Decreasing Batt Cap - High LFP Chemistry,Lithium,3087.316099749013,9576.669725228614
2033,Increasing Batt Cap - Benchmark Chemistry,Lithium,3393.18623575746,10301.528489704884
2033,Increasing Batt Cap - High LFP Chemistry,Lithium,3388.4423823309767,10291.251962282618
2034,Decreasing Batt Cap - Benchmark Chemistry,Lithium,4193.054432130801,13777.799042161514
2034,Decreasing Batt Cap - High LFP Chemistry,Lithium,4186.949469660453,13763.619194889066
2034,Increasing Batt Cap - Benchmark Chemistry,Lithium,4663.500959182131,14965.029448887015
2034,Increasing Batt Cap - High LFP Chemistry,Lithium,4655.42716731789,14946.679129600509
2035,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2035,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2035,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2035,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2036,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2036,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2036,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2036,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2037,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2037,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2037,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2037,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2038,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2038,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2038,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2038,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2039,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2039,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2039,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2039,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2040,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2040,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2040,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2040,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2041,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2041,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
