Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2047,Decreasing Batt Cap - High LFP Chemistry,Refining,7.871423710605445,Decreasing Batt Cap - High LFP Chemistry - Refining
2048,Decreasing Batt Cap - High LFP Chemistry,Black Mass,15.290647436721443,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2048,Decreasing Batt Cap - High LFP Chemistry,Refining,10.085182573030268,Decreasing Batt Cap - High LFP Chemistry - Refining
2049,Decreasing Batt Cap - High LFP Chemistry,Black Mass,18.276831657875345,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2049,Decreasing Batt Cap - High LFP Chemistry,Refining,12.586873274631168,Decreasing Batt Cap - High LFP Chemistry - Refining
2050,Decreasing Batt Cap - High LFP Chemistry,Black Mass,21.535890698281495,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2050,Decreasing Batt Cap - High LFP Chemistry,Refining,15.361438795484323,Decreasing Batt Cap - High LFP Chemistry - Refining
2025,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2025,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2026,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2026,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2027,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2027,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2028,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2028,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2029,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2029,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2030,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2030,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2031,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2031,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2032,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2032,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2033,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2033,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2034,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2034,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2035,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2035,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2036,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.12043715472194017,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2036,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2037,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.4298940412077882,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2037,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2038,Increasing Batt Cap - Benchmark Chemistry,Black Mass,1.0126554406037502,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2038,Increasing Batt Cap - Benchmark Chemistry,Refining,0.09826787984296191,Increasing Batt Cap - Benchmark Chemistry - Refining
2039,Increasing Batt Cap - Benchmark Chemistry,Black Mass,1.8374604286885141,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2039,Increasing Batt Cap - Benchmark Chemistry,Refining,0.4385793483747258,Increasing Batt Cap - Benchmark Chemistry - Refining
2040,Increasing Batt Cap - Benchmark Chemistry,Black Mass,2.92412464632372,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2040,Increasing Batt Cap - Benchmark Chemistry,Refining,1.0407500464569317,Increasing Batt Cap - Benchmark Chemistry - Refining
2041,Increasing Batt Cap - Benchmark Chemistry,Black Mass,4.2930428378716785,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2041,Increasing Batt Cap - Benchmark Chemistry,Refining,1.9251747184518901,Increasing Batt Cap - Benchmark Chemistry - Refining
2042,Increasing Batt Cap - Benchmark Chemistry,Black Mass,5.976311591106788,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2042,Increasing Batt Cap - Benchmark Chemistry,Refining,3.123949952134,Increasing Batt Cap - Benchmark Chemistry - Refining
2043,Increasing Batt Cap - Benchmark Chemistry,Black Mass,8.01600669650397,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2043,Increasing Batt Cap - Benchmark Chemistry,Refining,4.679151537978181,Increasing Batt Cap - Benchmark Chemistry - Refining
2044,Increasing Batt Cap - Benchmark Chemistry,Black Mass,10.461742535915146,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2044,Increasing Batt Cap - Benchmark Chemistry,Refining,6.640393857836358,Increasing Batt Cap - Benchmark Chemistry - Refining
2045,Increasing Batt Cap - Benchmark Chemistry,Black Mass,13.364656734968507,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2045,Increasing Batt Cap - Benchmark Chemistry,Refining,9.05881453733672,Increasing Batt Cap - Benchmark Chemistry - Refining
2046,Increasing Batt Cap - Benchmark Chemistry,Black Mass,16.782283417415126,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2046,Increasing Batt Cap - Benchmark Chemistry,Refining,11.991947700230337,Increasing Batt Cap - Benchmark Chemistry - Refining
2047,Increasing Batt Cap - Benchmark Chemistry,Black Mass,20.746606280830825,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2047,Increasing Batt Cap - Benchmark Chemistry,Refining,15.471777044093038,Increasing Batt Cap - Benchmark Chemistry - Refining
2048,Increasing Batt Cap - Benchmark Chemistry,Black Mass,25.27505658844635,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2048,Increasing Batt Cap - Benchmark Chemistry,Refining,19.515733832155558,Increasing Batt Cap - Benchmark Chemistry - Refining
2049,Increasing Batt Cap - Benchmark Chemistry,Black Mass,30.360657063513354,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2049,Increasing Batt Cap - Benchmark Chemistry,Refining,24.116840787669567,Increasing Batt Cap - Benchmark Chemistry - Refining
2050,Increasing Batt Cap - Benchmark Chemistry,Black Mass,35.98224469350875,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2050,Increasing Batt Cap - Benchmark Chemistry,Refining,29.253934898111954,Increasing Batt Cap - Benchmark Chemistry - Refining
2025,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2025,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2026,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2026,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2027,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2027,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2028,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2028,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2029,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2029,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2030,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2030,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2031,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2031,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2032,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2032,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2033,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2033,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2034,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2034,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2035,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2035,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2036,Increasing Batt Cap - High LFP Chemistry,Black Mass,0.12331155768881807,Increasing Batt Cap - High LFP Chemistry - Black Mass
2036,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2037,Increasing Batt Cap - High LFP Chemistry,Black Mass,0.4373267657085521,Increasing Batt Cap - High LFP Chemistry - Black Mass
2037,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2038,Increasing Batt Cap - High LFP Chemistry,Black Mass,1.027129851812395,Increasing Batt Cap - High LFP Chemistry - Black Mass
2038,Increasing Batt Cap - High LFP Chemistry,Refining,0.10530956655084273,Increasing Batt Cap - High LFP Chemistry - Refining
2039,Increasing Batt Cap - High LFP Chemistry,Black Mass,1.8629950822455998,Increasing Batt Cap - High LFP Chemistry - Black Mass
2039,Increasing Batt Cap - High LFP Chemistry,Refining,0.4566812774310475,Increasing Batt Cap - High LFP Chemistry - Refining
2040,Increasing Batt Cap - High LFP Chemistry,Black Mass,2.9670770796571366,Increasing Batt Cap - High LFP Chemistry - Black Mass
2040,Increasing Batt Cap - High LFP Chemistry,Refining,1.076269755289584,Increasing Batt Cap - High LFP Chemistry - Refining
2041,Increasing Batt Cap - High LFP Chemistry,Black Mass,4.362765640649455,Increasing Batt Cap - High LFP Chemistry - Black Mass
