Year,Scenario,Mineral,Recycling Scenario,Tonne
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,794.2315987431305
2029,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3328.7537517628994
2029,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,3513.684515749725
2029,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,7171.11909555782
2029,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,693.0566163623366
2029,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,365.4957140227265
2029,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3453.4792396984176
2029,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,3453.4792396984176
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,810.9969993510557
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,810.9969993510557
2029,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3514.826406080457
2029,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,3710.0945397515948
2029,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,7537.769072003133
2029,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,725.5469485217893
2029,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,375.75785747037315
2029,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3546.8101223949834
2029,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,3546.8101223949834
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,807.0594115952907
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,807.0594115952907
2029,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3519.6821045851348
2029,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,3715.2199992843084
2029,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,7539.505609518327
2029,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,725.1830793650605
2029,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,373.69160606593596
