"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Nebraska",2032,26722.851891972,6238.87155870852,46970.868853121,74143.9672449743,405,208,5175.62505882719,5833.85626926707,31.8665412284546,16.3660261123915,613,79932.5923038015,5882.08883660792
"Nebraska",2033,31363.4257776527,6869.06155999178,41212.0361189317,73402.8983977488,595,271,5175.62505882737,5775.54688414797,46.8162766195815,21.3230436368178,866,79444.5234565762,5843.68620440437
"Nebraska",2034,33860.000084928,7060.61236002114,38207.6564204152,72726.6438065372,871,355,5175.62505882719,5722.33726732877,68.5327343456395,27.9324003360528,1226,79128.2688653644,5818.80240201047
"Nebraska",2035,36138.9614628168,7124.63636069995,35760.7230459843,72101.6958106739,1270,477,5175.62505882719,5673.16459800576,99.9271786670059,37.5317041135132,1747,79024.3208695011,5810.62348078628
"Nebraska",2036,38159.0639982989,7117.57539840211,33818.1878891034,71503.2022269769,1790,626,5175.62505882755,5626.07343637651,140.842243947985,49.2554439728706,2416,79094.8272858044,5816.17112429737
"Nebraska",2037,40139.2107503558,7093.47870720695,32410.017316971,70901.0817157066,2733,833,5175.62505882719,5578.69689786567,215.040141178683,65.5427872674141,3566,79642.7067745338,5859.27982631176
"Nebraska",2038,42093.4216794177,7058.08888765993,31387.9257371448,70260.8112453952,4001,1102,5175.62505882719,5528.31861307668,314.809954209993,86.7084652685358,5103,80539.4363042224,5929.83703255521
"Nebraska",2039,44076.6101103262,7043.62424625315,30715.7716306954,69544.3809284471,5663,1453,5175.62505882755,5471.94785694744,445.580797473429,114.326134333197,7116,81836.0059872747,6031.85478875407
"Nebraska",2040,46092.9259060152,7044.06261680287,30269.0346591325,68713.3981231234,7681,1836,5175.62505882719,5406.56378824131,604.362723890766,144.461653568994,9517,83406.0231819506,6155.38816570107
"Nebraska",2041,47082.3044734182,6908.9812162628,29429.6475373355,67750.0086031015,10018,2292,3360.92462391494,5330.76158612072,788.244469201626,180.341018507699,12310,83420.9332270165,6299.34707383004
"Nebraska",2042,49064.7294959997,6934.81019329442,29333.2050013495,66601.820066729,12582,2788,3360.92462391459,5240.41887665812,989.987214163991,219.367696160325,15370,85332.7446906436,6449.77378698244
"Nebraska",2043,50874.6942149631,6951.98575239187,29369.9169947229,65250.672338163,15253,3332,3360.92462391494,5134.10676604557,1200.1490206361,262.171149069656,18585,87196.5969620779,6596.42693575132
"Nebraska",2044,52675.539246772,6965.32033470067,29321.5162098091,63688.4511673668,17994,3919,3360.92462391494,5011.18680222547,1415.81862435756,308.357963146454,21913,88962.3757912817,6735.36338972948
"Nebraska",2045,54412.9944974906,6980.12847965547,29304.2289823137,61924.4273355453,20890,4522,3360.92462391459,4872.38843638666,1643.68406484547,355.803702308819,25412,90697.3519594599,6871.87620354095
"Nebraska",2046,56016.7725077529,6974.17504416418,29254.306493083,59979.3294210852,23797,5108,3360.92462391494,4719.3426514866,1872.41501632972,401.911833567769,28905,92245.2540450001,6993.66950138408
"Nebraska",2047,57444.5695709854,6960.18205654961,29162.4396163709,57880.2666199909,26687,5639,3360.92462391494,4554.18247545651,2099.80835991054,443.692409845076,32326,93567.1912439059,7097.68324521213
"Nebraska",2048,58724.509094203,6928.4530549217,28970.125084368,55672.1626095777,29503,6087,3360.92462391494,4380.44262981565,2321.37917497061,478.942312240996,35590,94623.0872334927,7180.76411702726
