"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Nevada","Car",2024,55440.5122741793,30,10,40,0,3764.88084038389,220.934956023962,44112,48097.8157964078,5014.78329143468,2.71360224810021,0.904534082700071
"Nevada","Car",2025,55170.2486361541,47,15,62,10023.2310125544,5912.33388294769,1190.03002601006,58153.1157397507,65255.4796487085,4340.95062406937,3.6980924388577,1.18024226772054
"Nevada","Car",2026,55025.401416264,103,39,142,10023.2310125544,7821.18786530022,1577.83556155487,55791.6090019633,65190.6324288184,4329.55363665097,8.10433023834772,3.06862989607341
"Nevada","Car",2027,54897.6521908965,171,64,235,10023.2310125544,10370.061470786,2308.7141555175,52477.1075771474,65155.8832034509,4319.50196762115,13.4547618520142,5.03570034227431
"Nevada","Car",2028,54731.0047529769,268,108,376,10023.2310125544,12900.4250366445,2414.65954627402,49815.1511826127,65130.2357655313,4306.38967761848,21.0869951832737,8.4977443275879
"Nevada","Car",2029,54476.8485301679,381,157,538,10023.2310125544,15306.3667626995,3107.37617944016,46624.3366005826,65038.0795427223,4286.39194983426,29.9781536001018,12.3532024021417
"Nevada","Car",2030,54092.4422825206,607,226,833,10023.2310125544,17748.0112965296,3471.82077492964,43728.8412236158,64948.673295075,4256.14578307098,47.7604704337579,17.7823168336562
"Nevada","Car",2031,53558.9797806266,868,275,1143,10887.7171252823,20725.6783370194,4347.63775645349,40516.380812436,65589.6969059089,4214.17145020569,68.2966858920954,21.6377749082099
"Nevada","Car",2032,52880.0715399907,1141,318,1459,10887.7171252825,23238.625320099,5121.83053318464,36866.3328119895,65226.7886652731,4160.75303677221,89.7770951646092,25.0211360756755
"Nevada","Car",2033,52082.1697742836,1491,357,1848,10887.7171252825,27083.3204287803,5612.15103461301,32122.4154361727,64817.886899566,4097.97187748045,117.316081411422,28.0897659717489
"Nevada","Car",2034,51204.3157737152,1965,378,2343,10887.7171252823,29033.884535147,5741.68098502394,29659.4673788266,64435.0328989975,4028.89985105656,154.611737071391,29.7421051465577
"Nevada","Car",2035,50306.3110733842,2503,395,2898,10887.7171252823,30756.4492382223,5756.12877091486,27579.4501895293,64092.0281986665,3958.24231079373,196.943093073634,31.0797130499743
"Nevada","Car",2036,49433.9034627453,3044,416,3460,10887.7171252825,32278.1874431288,5727.99516724778,25775.4379776511,63781.6205880277,3889.59882167659,239.510497529422,32.732052224783
"Nevada","Car",2037,48615.9205511662,3752,518,4270,10887.7171252823,33631.7456769639,5669.93776356469,24471.9542359199,63773.6376764485,3825.23762124201,295.217932565832,40.7576996452827
"Nevada","Car",2038,47860.3910819268,4630,683,5313,10887.7171252825,34940.7648632523,5601.59254953193,23518.750794425,64061.1082072093,3765.79043363502,364.301446636407,53.7403645902087
"Nevada","Car",2039,47152.797256809,5752,937,6689,10887.7171252823,36328.8878771181,5554.09179820374,22846.5347067694,64729.5143820913,3710.11495758288,452.583568261904,73.7258003236099
"Nevada","Car",2040,46460.8701189861,7143,1253,8396,10887.7171252825,37757.5337613416,5528.96409839345,22458.0893845335,65744.5872442686,3655.67218063345,562.031367888522,98.5895707635893
"Nevada","Car",2041,45746.1034803996,8813,1642,10455,10554.0673392429,39078.0675751588,5503.87604588747,22173.2271985962,66755.1708196425,3599.43232740569,693.431673694743,129.197186906475
"Nevada","Car",2042,44960.3208221937,10730,2066,12796,10554.067339243,40661.5810960622,5525.08856330328,22123.7185020712,68310.3881614368,3537.60473364193,844.266635509428,162.558701674043
"Nevada","Car",2043,44066.4885861532,12889,2541,15430,10554.0673392429,42288.3912980099,5563.30805423323,22198.856573153,70050.5559253961,3467.27549462685,1014.14283924334,199.93304015186
"Nevada","Car",2044,43039.8013587432,15200,3053,18253,10554.067339243,43956.3366470318,5605.55749421607,22284.9745567384,71846.8686979862,3386.49285052565,1195.97883129015,240.218642890054
"Nevada","Car",2045,41871.2515305858,17696,3578,21274,10554.0673392429,45616.6791666618,5654.09668940016,22428.5430137667,73699.3188698287,3294.54805725039,1392.37114463885,281.527122260273
"Nevada","Car",2046,40568.7649232308,20227,4079,24306,10554.0673392429,47204.9485977591,5687.88845025854,22535.9952144561,75428.8322624737,3192.06474077437,1591.51735661223,320.947214002139
"Nevada","Car",2047,39153.2242051071,22727,4531,27258,10554.067339243,48640.3212550102,5711.69878130627,22613.2715080336,76965.2915443501,3080.68600829376,1788.22440123232,356.511847669452
"Nevada","Car",2048,37656.8700291782,25123,4908,30031,10554.0673392429,49916.4703427387,5717.68936067982,22607.7776650026,78241.9373684211,2962.948645233,1976.74843279621,386.175269998161
"Nevada","Car",2049,36117.7221544797,27355,5194,32549,10554.067339243,51026.2575556362,5707.93140438742,22486.6005336991,79220.7894937228,2841.84415336691,2152.36848223303,408.6785559027
"Nevada","Car",2050,34575.4102029533,29388,5388,34776,10554.0673392429,51916.6666630399,5670.53914886481,22318.2717302915,79905.4775421962,2720.49070302011,2312.33065091809,423.943022565219
"Nevada","SUV",2020,54728.640203008,0,0,0,0,1557.89486500513,301.35881271344,51999,53858.2536777186,3604.75154547301,0,0
"Nevada","SUV",2021,54852.3935902659,1,0,1,0,3819.78077287269,1271.67562103116,54642,59733.4563939038,4193.60132815571,0.0764524764312183,0
"Nevada","SUV",2022,54948.231090281,5,0,5,0,7214.83603732292,1698.8149808778,52296,61209.6510182007,4233.13163719817,0.38519271259552,0
"Nevada","SUV",2023,55000.0082388321,11,1,12,0,11685.380793104,2480.4113174911,55849,70014.792110595,4604.78265495765,0.920956393035074,0.083723308457734
"Nevada","SUV",2024,55040.555843746,17,7,24,0,14483.4079431589,2844.19722467877,54841,72168.6051678377,4978.60586914248,1.53770794059012,0.63317385789005
"Nevada","SUV",2025,55081.1842259749,31,9,40,12460.9148603071,6123.1322865077,1232.45936688252,60226.5074328918,67582.099086282,4333.9427853065,2.43916735328912,0.708145360632325
"Nevada","SUV",2026,55175.7303860362,53,18,71,12460.9148603071,8123.16422864854,1638.75585308167,57945.7251646131,67707.6452463433,4341.38194359684,4.17018934594592,1.41629072126465
"Nevada","SUV",2027,55332.9348882443,90,29,119,12460.9148603071,10808.8539656451,2406.40368677727,54697.592096129,67912.8497485514,4353.75123680897,7.08145360632325,2.28180171759305
"Nevada","SUV",2028,55572.7971914425,153,52,205,12460.9148603071,13516.1247164816,2529.90420723157,52192.6831280365,68238.7120517496,4372.62427872013,12.0384711307495,4.09150652809788
"Nevada","SUV",2029,55906.8310550681,252,80,332,12460.9148603071,16168.1205053766,3282.3225330754,49249.3028769232,68699.7459153752,4398.90700436685,19.8280700977051,6.29462542784289
"Nevada","SUV",2030,56324.966742993,392,116,508,12460.9148603071,18935.3920731898,3704.0931788224,46654.396351288,69293.8816033001,4431.80709853562,30.8436645964302,9.12720687037219
"Nevada","SUV",2031,56801.0741633772,585,161,746,13535.6469337401,22461.4182146982,4711.74493330276,43909.5579491163,71082.7210971173,4469.2685719698,46.0294484411011,12.6679336735338
"Nevada","SUV",2032,57291.945932565,890,226,1116,13535.6469337403,25631.6497103884,5649.2569717115,40662.6861842054,71943.5928663052,4507.89174597154,70.0277078847522,17.7823168336562
"Nevada","SUV",2033,57743.5111245683,1425,369,1794,13535.6469337403,30532.6793127737,6326.92022550526,36213.5585200297,73073.1580583086,4543.42216772046,112.123015433451,29.0339597859253
"Nevada","SUV",2034,58097.0997515815,2300,572,2872,13535.6469337401,33571.2129762202,6638.97367768383,34294.5600314175,74504.7466853216,4571.24351725287,180.970481050483,45.0065718090767
"Nevada","SUV",2035,58312.5592669058,3621,857,4478,13535.6469337401,36627.3802301843,6854.88482474735,32843.9411457142,76326.2062006459,4588.19647905076,284.910483427739,67.431174895767
"Nevada","SUV",2036,58356.7310884407,5282,1191,6473,13535.6469337403,39658.6404912767,7037.70933463637,31669.0281962679,78365.3780221809,4591.6720424386,415.602643873327,93.711236057011
"Nevada","SUV",2037,58212.1612923249,6514,1436,7950,13535.6469337401,42029.5362618199,7085.71172977297,30582.5602344721,79697.808226065,4580.2968835045,512.539875462107,112.98852642978
"Nevada","SUV",2038,57876.9168279697,7715,1656,9371,13535.6469337403,44061.6715072033,7063.8273604094,29658.0648940973,80783.56376171,4553.91890438108,607.037939697599,130.298746356348
"Nevada","SUV",2039,57362.1809724051,8847,1875,10722,13535.6469337401,45808.4322871484,7003.35883980836,28808.0367791884,81619.8279061452,4513.41803681783,696.106889501576,147.530283465068
