"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2046,"IL",3419.47847963763,2996.77681618324,102936.381302391,68351.8314902951,31719.7833982791,28883.0276538568,742624.483256111,493117.621756829
2047,"IL",3434.91691762609,3017.28149115413,104874.458641693,69484.2806887052,31823.3909338889,29020.6347643561,756606.553194836,501287.566048075
2048,"IL",3449.2330262176,3037.60409528947,106738.016851092,70644.318867921,31919.4665039561,29157.0199953756,770051.01213892,509656.548350521
2049,"IL",3460.66875910589,3053.93656954084,108274.897099305,71605.0502911279,31996.211839419,29266.6274186693,781138.684793775,516587.651500641
2050,"IL",3470.75380034392,3069.71069532418,109667.452008234,72558.0742493763,32063.8926676205,29372.4877589468,791185.136364779,523463.149896546
2025,"IN",1161.58577145927,1161.58577145927,22070.1296577261,22070.1296577261,404.825783392463,394.0171792558,3547.08404312658,3384.32370269514
2026,"IN",1161.58577145927,1161.58577145927,22070.1296577261,22070.1296577261,14500.5060039465,13945.9319694861,144391.24438687,131569.996522963
2027,"IN",7969.41446865646,7969.41446865646,151418.874904473,151418.874904473,9485.38188149164,9485.38188149164,82003.7083029244,82003.7083029244
2028,"IN",7969.41446865646,7969.41446865646,151418.874904473,151418.874904473,10384.0070308777,8966.01433184282,99538.0612659566,83469.8002232796
2029,"IN",7969.41446865646,7969.41446865646,151418.874904473,151418.874904473,29052.4359615336,29052.4359615336,250464.73152497,250464.73152497
2030,"IN",7969.41446865647,7969.41446865647,151418.874904473,151418.874904473,30029.1320415952,27187.6819013942,281778.874682584,252329.48558511
2031,"IN",7969.41446865647,7969.41446865647,151418.874904473,151418.874904473,31400.2775169529,25341.9230296437,334029.952336139,254175.24445686
2032,"IN",9032.68586210983,7969.41446865647,174731.36008783,151418.874904473,32297.4912543594,26638.7377117905,387507.213927317,285688.107882937
2033,"IN",10078.4978316273,7969.41446865647,205913.241202471,151418.874904473,32857.4821145859,27807.8893632688,457569.313272456,328187.963687412
2034,"IN",10790.8067815974,8586.85326822455,234404.54139298,164135.441520173,32493.8976437509,27928.6540561873,521963.250606593,365490.651701954
2035,"IN",11379.2447883599,9281.63462098728,264655.66443564,181265.517446608,33712.7812639139,29367.8160422333,589325.318013706,403635.262981946
2036,"IN",11603.1009030106,9587.73979125653,278319.987541736,190002.020872386,34176.4742074107,30001.8787196957,619752.520760769,423089.381489869
2037,"IN",11801.4541183593,9858.78433475019,291663.150015634,198472.190809712,34587.3407429111,30563.317224011,649464.575044613,441950.438564121
2038,"IN",11982.2109850529,10106.9627674202,304987.690763042,206918.289504163,34961.7584071558,31077.3911332127,679135.163165587,460757.89469659
2039,"IN",12153.7356975815,10343.1383450977,318808.466809922,215651.625586695,35317.0526950019,31566.6024686556,709910.749459544,480204.960283241
2040,"IN",12323.1360695539,10587.8914588813,333745.098554041,225515.580653929,35667.946648611,32073.5812122892,743171.081413624,502169.645865417
2041,"IN",12391.6811782473,10681.8294010241,340194.391228086,229545.345051193,35809.9301868403,32268.1631693923,757532.124711901,511142.974246665
2042,"IN",12488.414751767,10807.0856391206,349731.860466616,235148.116803984,36010.3029821525,32527.6174792509,778769.803882791,523619.016473127
2043,"IN",12581.1330621282,10928.4676836979,359389.241119103,240844.863555643,36202.3586082163,32779.0468298654,800274.497297695,536304.318706215
2044,"IN",12667.5839010694,11041.5331661781,368887.001469354,246405.328345477,36381.4318671217,33013.2493508059,821423.754203894,548686.153372634
2045,"IN",12742.7270279608,11139.156621452,377559.854696871,251417.11622764,36537.0824632477,33215.465436799,840736.138835039,559846.214857699
2046,"IN",12809.3663847226,11225.9259534224,385599.684358757,256045.960762645,36675.1184491658,33395.1984184483,858638.93030701,570153.552444617
2047,"IN",12867.1987734274,11302.7364658634,392859.722071781,260288.11545989,36794.9117842276,33554.3028175433,874805.310282829,579599.823588474
2048,"IN",12920.8269162111,11378.8649409544,399840.61112419,264633.618479232,36905.9964933519,33711.9944524309,890350.092479734,589276.226903947
2049,"IN",12963.6651716107,11440.0463895,405597.764533998,268232.518390565,36994.731155666,33838.7249909636,903169.905996002,597290.12239063
2050,"IN",13001.4437360883,11499.1362646844,410814.275222845,271802.546138164,37072.985233251,33961.1230688444,914785.836556877,605239.726424829
2025,"KS",0,0,0,0,0,0,0,0
2026,"KS",0,0,0,0,0,0,0,0
2027,"KS",0,0,0,0,8909.04160022733,8909.04160022733,71674.4201006676,71674.4201006676
2028,"KS",0,0,0,0,9794.79964546473,8457.26642303156,87005.095451032,72960.0099031547
2029,"KS",0,0,0,0,7833.84225746003,7833.84225746003,72749.6194434349,72749.6194434349
2030,"KS",0,0,0,0,8058.79047796135,7296.24258607638,81840.5747663766,73287.2191148185
2031,"KS",0,0,0,0,8374.39459156639,6758.64291469273,97018.4990008519,73824.8187862022
2032,"KS",0,0,0,0,8341.41738444986,6879.94086286615,112813.740727598,83171.4687451182
2033,"KS",0,0,0,0,8952.24902467602,7576.45243669213,132559.703982384,95077.3971397867
2034,"KS",0,0,0,0,9367.83518462932,8051.69730622351,150479.507190062,105369.205756858
2035,"KS",0,0,0,0,9719.23349911029,8466.60081940226,169899.668848849,116366.114640192
2036,"KS",0,0,0,0,9852.91395562485,8649.39805488055,178671.685785346,121974.64390444
