"Year","State_Province","Mineral","Available Recycled Minerals (w Scrap) (Tonne)","Available Recycled Minerals No R Restraint (Tonne)","Minerals Recoverable in Exported Scrap/Batts (Tonne)","Minerals Recoverable in Exported BM (Tonne)","Minerals Lost to Pyrometalurgy (Tonne)","Scrap_min","Batt_min","Battery_Scenario","Chemistry_Scenario","Scenario","Country"
2025,"KS","Copper",1.21457050743492,1.28204664673686,0,0,0.0674761393019399,0.0349744967488428,1.24707214998801,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KS","Graphite",0,2.82580171112712,0,0,2.82580171112712,0,2.82580171112712,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KS","Lithium",0,0.302478286896915,0,0,0.302478286896915,0.00882404562559042,0.293654241271325,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KS","Manganese",0,0.235992762339161,0,0,0.235992762339161,0.0131201831018811,0.22287257923728,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KS","Nickel",2.05300910448852,2.05300910448852,0,0,0,0.0581428504646009,1.99486625402392,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KY","Cobalt",0.477986933674852,0.477986933674852,0,0,0,0.0141576444915308,0.463829289183322,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KY","Copper",1.16305251801134,1.22766654678975,0,0,0.0646140287784076,0.0349744967488428,1.1926920500409,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KY","Graphite",0,2.70212392749108,0,0,2.70212392749108,0,2.70212392749108,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KY","Lithium",0,0.289409980507516,0,0,0.289409980507516,0.00882404562559042,0.280585934881925,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KY","Manganese",0,0.223394951642159,0,0,0.223394951642159,0.0131201831018811,0.210274768540278,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KY","Nickel",1.96527463113966,1.96527463113966,0,0,0,0.0581428504646009,1.90713178067506,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"LA","Cobalt",0.372877943535181,0.372877943535181,0,0,0,0.0141576444915308,0.35872029904365,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
