"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2035,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2036,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0.577845063829506,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2036,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2037,"Increasing Batt Cap - High LFP Chemistry","Black Mass",1.26172117251315,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2037,"Increasing Batt Cap - High LFP Chemistry","Refining",0.199382589130646,"Increasing Batt Cap - High LFP Chemistry - Refining"
2038,"Increasing Batt Cap - High LFP Chemistry","Black Mass",2.33815028791768,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2038,"Increasing Batt Cap - High LFP Chemistry","Refining",0.79131818498217,"Increasing Batt Cap - High LFP Chemistry - Refining"
2039,"Increasing Batt Cap - High LFP Chemistry","Black Mass",3.84241782421113,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2039,"Increasing Batt Cap - High LFP Chemistry","Refining",1.81109220172263,"Increasing Batt Cap - High LFP Chemistry - Refining"
2040,"Increasing Batt Cap - High LFP Chemistry","Black Mass",5.84470121111142,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2040,"Increasing Batt Cap - High LFP Chemistry","Refining",3.32888206906991,"Increasing Batt Cap - High LFP Chemistry - Refining"
2041,"Increasing Batt Cap - High LFP Chemistry","Black Mass",8.41388883128064,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2041,"Increasing Batt Cap - High LFP Chemistry","Refining",5.41357616968614,"Increasing Batt Cap - High LFP Chemistry - Refining"
2042,"Increasing Batt Cap - High LFP Chemistry","Black Mass",11.6186150449536,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2042,"Increasing Batt Cap - High LFP Chemistry","Refining",8.13380886380608,"Increasing Batt Cap - High LFP Chemistry - Refining"
