"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2026,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.00541592101595985
2027,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00740202550672346
2027,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.00740202550672346
2028,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.010937607882506
2028,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.010937607882506
2029,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0158367687750014
2029,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0158367687750014
2030,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0217708698148292
2030,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0217708698148292
2031,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0299701463738773
2031,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0299701463738773
2032,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.041283280789821
2032,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.041283280789821
2033,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0531153399647183
2033,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0531153399647183
2034,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0684311514712836
2034,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0684311514712836
2035,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0891299363715572
2035,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0891299363715572
2036,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.101798691430932
2036,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.120400466304463
2037,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0990360435858084
2037,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.16170624896572
2038,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0966826302926541
2038,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.211988151742872
2039,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0963986400787616
2039,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.28699510828786
2040,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0910548943079191
2040,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.347495915497069
2041,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0844596929385093
2041,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.403625991251658
2042,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0781009430845895
2042,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.452948293858124
2043,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0719574858144002
2043,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.497484450209005
2044,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0665209268428305
2044,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.53880718161489
2045,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.061862043384809
2045,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.577610695619387
2046,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0578992547529123
2046,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.614072440589866
2047,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0545303414600188
2047,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.648949476380342
2048,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.051563889930257
2048,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.680134984590287
2049,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0489621341933066
2049,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.708053996050218
2050,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0466485413084082
2050,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.73064784522216
2026,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.00207242802149418
