Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,OR,197268.7505488877,108283.90654134788,208851.74159392,114519.13570522609,0,0,0,0,0,0,0,0,0,0,64705.21215009821,67587.5369525652,108060.80814080681,113025.03778523018,US
2050,PA,322431.9552093795,179876.40006683063,339402.13046736835,189089.8985882905,0,0,0,0,24.50213880631981,20.81982808617241,556.0706494259072,306.7162945695223,15000,20000,106190.41978262248,110292.80897855984,175357.72819495102,182379.93648938366,US
2050,PE,8148.662895420169,4485.632478221218,8600.729506789452,4728.195213221265,0,0,0,0,0,0,0,0,0,0,2691.486461181747,2808.0523946413987,4519.474222164958,4720.94958356939,CA
2050,QC,371819.5116807333,205739.1752792421,392800.0318926887,217094.48894791456,1693.569285191557,1340.835612771052,49550.04805049122,27330.71265221211,70.00611087519948,59.48522310334977,1588.7732840740207,876.3322701986351,0,0,133550.27383761285,139426.96207271086,222587.00018698903,232652.37425695462,CA
2050,RI,44392.57300980436,24596.219691036367,47009.86653517747,26021.904186655735,0,0,0,0,0,0,0,0,0,0,15987.25478427059,16709.312218309213,26467.359753677265,27695.847143817165,US
2050,SC,185531.33001209417,102784.54811571425,195803.20056280142,108340.77311024678,2018.7345879483357,1598.2760504230941,59063.657276185535,32578.209481436832,2450.2138806319813,2081.982808617241,55607.06494259071,30671.629456952225,21840,56445.69026,54346.23130414326,56576.65923145201,90638.80307937859,94484.649160515,US
2050,SD,30840.715008928113,16853.341786042813,32549.292280028258,17761.235332939134,0,0,0,0,0,0,0,0,0,0,8981.69980504745,9348.324483567583,15177.178585125468,15820.76626928027,US
2050,SK,65460.15418483651,35301.046639417116,69262.37560311367,37300.73210066417,0,0,0,0,0,0,0,0,0,0,20985.693480402275,21928.713316580444,35950.33383369605,37616.48599820173,CA
2050,TN,232993.1230433378,129012.02553040037,245790.3386589452,135923.3132865015,61713.664752380326,48860.04972937713,1805603.7509599,995931.1690466092,33602.93322009574,28552.90708960788,762611.1763555298,420639.4896953448,0,0,69541.6128190381,72366.64681027808,116007.95057406739,120885.0222214089,US
2050,TX,1176015.3760283657,649676.383066101,1240790.052308594,684564.1854483432,35564.9549890227,28157.547868192098,1040551.0090603158,573944.9656964544,3500.3055437599733,2974.2611551674877,79438.66420370102,43816.613509931754,49000,363403.18170400005,335278.00955752574,349076.45267765713,561623.1805544281,585527.6846783607,US
