Year,State_Province,Origin,Metric Tonnes (millions)
2050,PA,Cell Manufacturing,5.560706494259071e-4
2050,PA,End of Life Batteries,0.17535772819495102
2050,PA,Black Mass,0.015
2050,PA,Refining,0.02
2050,PE,LIB Demand,0.00814866289542017
2050,PE,Pack Manufacturing,0
2050,PE,Cell Manufacturing,0
2050,PE,End of Life Batteries,0.004519474222164957
2050,PE,Black Mass,0
2050,PE,Refining,0
2050,QC,LIB Demand,0.3718195116807333
2050,QC,Pack Manufacturing,0.04955004805049122
2050,QC,Cell Manufacturing,0.0015887732840740207
2050,QC,End of Life Batteries,0.22258700018698901
2050,QC,Black Mass,0
2050,QC,Refining,0
2050,RI,LIB Demand,0.044392573009804356
2050,RI,Pack Manufacturing,0
2050,RI,Cell Manufacturing,0
2050,RI,End of Life Batteries,0.026467359753677266
2050,RI,Black Mass,0
2050,RI,Refining,0
2050,SC,LIB Demand,0.18553133001209418
2050,SC,Pack Manufacturing,0.05906365727618554
2050,SC,Cell Manufacturing,0.05560706494259071
2050,SC,End of Life Batteries,0.09063880307937859
2050,SC,Black Mass,0.02184
2050,SC,Refining,0.05644569026
2050,SD,LIB Demand,0.030840715008928113
2050,SD,Pack Manufacturing,0
2050,SD,Cell Manufacturing,0
2050,SD,End of Life Batteries,0.015177178585125468
2050,SD,Black Mass,0
2050,SD,Refining,0
2050,SK,LIB Demand,0.06546015418483651
2050,SK,Pack Manufacturing,0
2050,SK,Cell Manufacturing,0
2050,SK,End of Life Batteries,0.03595033383369605
2050,SK,Black Mass,0
2050,SK,Refining,0
2050,TN,LIB Demand,0.2329931230433378
2050,TN,Pack Manufacturing,1.8056037509598999
2050,TN,Cell Manufacturing,0.7626111763555298
2050,TN,End of Life Batteries,0.11600795057406739
2050,TN,Black Mass,0
2050,TN,Refining,0
2050,TX,LIB Demand,1.1760153760283656
2050,TX,Pack Manufacturing,1.0405510090603158
2050,TX,Cell Manufacturing,0.07943866420370102
2050,TX,End of Life Batteries,0.5616231805544282
2050,TX,Black Mass,0.049
2050,TX,Refining,0.36340318170400004
2050,UT,LIB Demand,0.14247185642628113
2050,UT,Pack Manufacturing,0
2050,UT,Cell Manufacturing,0
2050,UT,End of Life Batteries,0.06577364419517064
2050,UT,Black Mass,0
2050,UT,Refining,0
2050,VA,LIB Demand,0.3127120925989376
2050,VA,Pack Manufacturing,0.01982001922019649
2050,VA,Cell Manufacturing,0
2050,VA,End of Life Batteries,0.1582151443632129
2050,VA,Black Mass,0
2050,VA,Refining,0
2050,VT,LIB Demand,0.02930774818201305
2050,VT,Pack Manufacturing,0
2050,VT,Cell Manufacturing,0
2050,VT,End of Life Batteries,0.017737148788702348
2050,VT,Black Mass,0
2050,VT,Refining,0
2050,WA,LIB Demand,0.43325928272275255
2050,WA,Pack Manufacturing,0
2050,WA,Cell Manufacturing,0
2050,WA,End of Life Batteries,0.23125942184058726
2050,WA,Black Mass,0
2050,WA,Refining,0
2050,WI,LIB Demand,0.17015767264408554
2050,WI,Pack Manufacturing,0
2050,WI,Cell Manufacturing,0
2050,WI,End of Life Batteries,0.08981355001242589
2050,WI,Black Mass,0
2050,WI,Refining,0
2050,WV,LIB Demand,0.03907839844039085
2050,WV,Pack Manufacturing,0
2050,WV,Cell Manufacturing,0.11915799630555156
2050,WV,End of Life Batteries,0.02252822764273539
2050,WV,Black Mass,0
2050,WV,Refining,0
2050,WY,LIB Demand,0.016761448464108895
2050,WY,Pack Manufacturing,0
2050,WY,Cell Manufacturing,0
2050,WY,End of Life Batteries,0.00892041553818283
2050,WY,Black Mass,0
2050,WY,Refining,0
2050,YT,LIB Demand,0.002658538942614141
2050,YT,Pack Manufacturing,0
2050,YT,Cell Manufacturing,0
2050,YT,End of Life Batteries,0.0014853816677676069
2050,YT,Black Mass,0
2050,YT,Refining,0
