Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.021217767377024997
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.021217767377024997
2031,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.029260847504009962
2031,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.029260847504009962
2032,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04052469795725062
2032,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.04052469795725062
2033,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05243212677320455
2033,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.05243212677320455
2034,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06790064045755943
2034,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.06790064045755943
2035,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08915524972373284
2035,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.08915524972373284
2036,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.12097995043847237
2036,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.12097995043847237
2037,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1486127465003937
2037,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.1633270180355976
2038,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.14818058164841832
2038,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.21492610922126795
2039,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.15040109664678714
2039,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3010919615101997
2040,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.14457019239223465
2040,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3653894061613276
2041,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.13525990688111234
2041,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.42032922000735173
2042,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.12522691050312884
2042,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4653361121450135
2043,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.11513071749490388
2043,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.504049344863589
2044,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10602028075384301
2044,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5398089991705444
2045,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.09816172975628165
2045,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5744612663042156
2046,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.09148377006581408
2046,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.608437246192511
2047,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08580817292793522
2047,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6421512331531113
2048,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08088348228519741
2048,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6730461102572662
2049,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.07659594510592595
2049,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.7009607065226214
2050,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.07285505364680342
2050,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.7243251487102447
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.002070329006644703
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.00218534728479163
2027,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.00347102597187797
2027,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.003663860748093413
2028,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.005588073157156281
2028,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.0058985216658871825
2029,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.008160170555946918
2029,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.008613513364610635
2030,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.011165309869101546
2030,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.011785604861829418
2031,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.0150699479117342
2031,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.015907167240163878
2032,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.020171132131661815
2032,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.021291750583420792
2033,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.025249113792150543
2033,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.026651842336158894
2034,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.031499704112492935
2034,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.03324968767429809
2035,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.03896989879125533
2035,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.04113489316854729
2036,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.04631257200482799
2036,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.05362609988555356
2037,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.04344798657721261
2037,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.06901376867105118
2038,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.04084858167942435
2038,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.08667263420101094
2039,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.03843451029716648
2039,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.11310220677807609
2040,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.03626033717959928
2040,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.1371184277023911
2041,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.035072913450337286
2041,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.166582969269057
2042,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.0338507964662715
2042,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.19682995328330852
2043,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.03260458038066845
2043,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.2289369323223406
2044,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.03144862116330589
2044,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.26341192322847923
2045,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.030434898063166817
2045,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.30045666302211627
2046,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.02954677378107507
2046,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.3397422259690812
2047,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.028779356725989625
2047,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.3813973548349984
2048,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,0.028095358274106762
2048,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,0.4238040365038757
