Year,Scenario,Mineral,Recycling Scenario,Tonne
2029,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,774.0765834328481
2029,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,391.661468254121
2029,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3700.522162900782
2029,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,3700.522162900782
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,834.1883496360539
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,834.1883496360539
2029,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3793.530083094458
2029,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,4004.281754377484
2029,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,8082.596623987051
2029,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,773.5991668405626
2029,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,388.9475757180581
2029,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3675.2271513508836
2029,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,3675.2271513508836
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,1205.1833489062583
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,1205.1833489062583
2030,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,5557.734295440659
2030,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,5866.497311854028
2030,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,11862.144244014213
2030,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,1133.0056026262869
2030,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,556.7463576369274
2030,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,5421.068316830262
2030,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,5421.068316830262
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,1196.1443735374935
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,1196.1443735374935
2030,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,5569.068509158698
2030,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,5878.461204111959
2030,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,11866.192537498511
2030,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,1132.1728873767931
