Year,Scenario,Mineral,Minerals Lost From Non-Recovery,Cum_Tonne
2047,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2047,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2047,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2048,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2048,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2048,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2048,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2049,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2049,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2049,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2049,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2050,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2050,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2050,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2025,Decreasing Batt Cap - Benchmark Chemistry,Manganese,51.694881606986606,51.694881606986606
2025,Decreasing Batt Cap - High LFP Chemistry,Manganese,51.694881606986606,51.694881606986606
2025,Increasing Batt Cap - Benchmark Chemistry,Manganese,51.72026630033233,51.72026630033233
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,51.72026630033233,51.72026630033233
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,85.37100124370158,137.06588285068818
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,85.37600461824697,137.07088622523358
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,85.76689483828947,137.4871611386218
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,85.77220428814677,137.49247058847908
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,162.0793197352998,299.145202585988
2027,Decreasing Batt Cap - High LFP Chemistry,Manganese,161.82304185884988,298.8939280840834
2027,Increasing Batt Cap - Benchmark Chemistry,Manganese,163.92518944762756,301.4123505862493
2027,Increasing Batt Cap - High LFP Chemistry,Manganese,163.63711987020397,301.1295904586831
2028,Decreasing Batt Cap - Benchmark Chemistry,Manganese,255.19280107217247,554.3380036581605
2028,Decreasing Batt Cap - High LFP Chemistry,Manganese,254.29482314196832,553.1887512260517
2028,Increasing Batt Cap - Benchmark Chemistry,Manganese,260.1755633984762,561.5879139847254
