Year,State_Province,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2027,KY,12126.444866882499,12126.444866882499,230402.45247076743,230402.45247076743,5939.361066818218,5939.361066818218,47782.94673377838,47782.94673377838
2028,KY,12126.4448668825,12126.4448668825,230402.45247076737,230402.45247076737,6339.356667863745,5580.961285895785,55712.04137005406,48141.34651470081
2029,KY,12126.4448668825,12126.4448668825,230402.45247076737,230402.45247076737,7004.36982501882,7004.36982501882,62834.63031575674,62834.63031575674
2030,KY,12126.444866882499,12126.444866882499,230402.45247076746,230402.45247076746,6878.088976079883,6538.450109819659,66768.84841937682,63300.55003095592
2031,KY,12126.444866882499,12126.444866882499,230402.45247076746,230402.45247076746,7195.967822766861,6072.530394620497,78241.37237152044,63766.4697461551
2032,KY,12904.750693544464,12126.444866882499,246204.47697889517,230402.45247076746,7222.29329414468,5606.610679421335,90236.15431816396,64232.38946135425
2033,KY,14548.14147340515,12126.444866882499,287896.4566750831,230402.45247076746,7640.898855701056,5722.92780517791,105386.12288874503,67069.94988687296
2034,KY,15654.898957768855,12126.444866882499,324955.29593744833,230402.45247076746,7858.713551814582,5981.350887767976,118817.37916021547,72363.18658216069
2035,KY,16575.12584315279,12126.444866882499,363903.17244549864,230402.45247076746,8171.709623155576,6306.644892166348,133058.36759276915,77621.60899512687
2036,KY,16937.357216130975,12126.444866882499,381921.97633548285,230402.45247076746,8294.915104824724,6471.2569601443765,139646.8032347657,80584.91960737182
2037,KY,17259.26366654952,12126.444866882499,399501.2902074843,230402.45247076746,8404.404901222375,6616.079404328871,146074.5427663845,83385.57494033032
2038,KY,17555.813947540322,12395.394119849718,417191.43194231496,235628.39304806,8505.270322978078,6750.0606478516565,152542.80564494958,86155.69116033982
2039,KY,17835.06031066385,12769.898777388387,435343.86049967847,243313.14443209273,8600.250176297033,6877.44063247317,159180.10010835223,88965.5607958369
2040,KY,18103.391751012292,13137.687549982595,454339.9550528209,251364.08595048304,8691.517545225615,7002.536348251225,166125.8744880949,91909.32500878093
2041,KY,18223.99547025186,13356.115373690493,463428.70101244556,256402.72476580617,8732.538396616352,7076.8300379684215,169449.10383156582,93751.66414298257
2042,KY,18397.956300442893,13668.648451880723,477198.0192259802,263973.82322182646,8791.707561614498,7183.131676391905,174483.74805312094,96519.97746839901
2043,KY,18563.108478822305,13965.040605228534,491049.2182197992,271578.8890538233,8847.880646564734,7283.9433143125425,179548.33134579938,99300.7107009256
2044,KY,18717.39968606815,14240.8951796331,504736.27682589076,279061.54183116526,8900.359597655435,7377.769521111585,184552.89798102394,102036.68455112811
2045,KY,18852.444789708854,14481.195142868184,517357.8595882877,285924.0647660127,8946.292386150022,7459.502565027799,189167.88165240997,104545.91274263417
2046,KY,18972.618255872778,14694.121877594434,529132.3843441042,292293.1782758657,8987.166895889051,7531.925173529372,193473.14514506125,106874.72961152534
2047,KY,19076.302860060598,14877.349658287336,539730.6575252928,298005.51377184864,9022.43306153231,7594.246299360726,197348.32138855057,108963.40070260123
2048,KY,19169.55576707496,15042.658346879507,549631.9256986646,303354.22854409716,9054.151101941929,7650.4726180107145,200968.64316643894,110919.11670126104
2049,KY,19244.086371195954,15174.18766649989,557810.405966554,307749.1271748428,9079.501139693553,7695.2095855577545,203959.04093220175,112526.07723862845
2050,KY,19306.68985118375,15285.525985589995,564870.5477755999,311570.12423521804,9100.794413775931,7733.079003435469,206540.52692962266,113923.19512582256
2025,MA,2340.829348601897,2340.829348601897,44475.757623436046,44475.757623436046,0,0,0,0
2026,MA,2340.829348601897,2340.829348601897,44475.757623436046,44475.757623436046,0,0,0,0
2027,MA,2340.8293486018974,2340.8293486018974,44475.75762343604,44475.75762343604,0,0,0,0
2028,MA,2340.829348601897,2340.829348601897,44475.75762343603,44475.75762343603,0,0,0,0
2029,MA,2340.829348601897,2340.829348601897,44475.75762343603,44475.75762343603,0,0,0,0
2030,MA,2340.8293486018974,2340.8293486018974,44475.75762343604,44475.75762343604,0,0,0,0
2031,MA,2340.8293486018974,2340.8293486018974,44475.75762343604,44475.75762343604,0,0,0,0
2032,MA,2491.069682124031,2340.8293486018974,47526.10281050498,44475.75762343604,0,0,0,0
2033,MA,2808.3017654715245,2340.8293486018974,55574.11776834981,44475.75762343604,0,0,0,0
2034,MA,3021.944793549662,2340.8293486018974,62727.77405613585,44475.75762343604,0,0,0,0
2035,MA,3199.5808710914066,2340.8293486018974,70246.08081434775,44475.75762343604,0,0,0,0
2036,MA,3269.504235948932,2340.8293486018974,73724.34220384769,44475.75762343604,0,0,0,0
2037,MA,3331.643475842884,2340.8293486018974,77117.76659917455,44475.75762343604,0,0,0,0
2038,MA,3388.888085347126,2392.7459912404643,80532.58466072442,45484.54752118955,0,0,0,0
2039,MA,3442.7924315479713,2465.038530659727,84036.64029961337,46967.9741787073,0,0,0,0
2040,MA,3494.5898146734785,2536.034668639623,87703.5530780033,48522.08838093272,0,0,0,0
2041,MA,3517.870564196162,2578.1989027494124,89457.99995157786,49494.72246663448,0,0,0,0
2042,MA,3551.45110831181,2638.528752913046,92115.96150076247,50956.21012122379,0,0,0,0
2043,MA,3583.331273552313,2695.742838233852,94789.72891355176,52424.25467121435,0,0,0,0
2044,MA,3613.1148902773316,2748.9924502018075,97431.81147219782,53868.6692064616,0,0,0,0
2045,MA,3639.1833337046764,2795.3787746838357,99868.2198078935,55193.376923165575,0,0,0,0
2046,MA,3662.3810292871613,2836.4811055995015,102141.11622698558,56422.83930823421,0,0,0,0
2047,MA,3682.395795951698,2871.850496318168,104186.95482018942,57525.52049178334,0,0,0,0
2048,MA,3700.396879037295,2903.76087352132,106098.24699056854,58558.010117029844,0,0,0,0
2049,MA,3714.7839007415632,2929.1506472719007,107676.9806464911,59406.37975973326,0,0,0,0
2050,MA,3726.8685689925405,2950.6428494639777,109039.83573991098,60143.966262457965,0,0,0,0
2025,MD,0,0,0,0,81.26385972043683,79.05097924613692,756.3292873205353,714.209896456838
2026,MD,0,0,0,0,79.44244045486407,75.66230764133992,834.9963769002014,747.2136254204388
2027,MD,0,0,0,0,52.225615049733555,52.225615049733555,484.9974629562325,484.9974629562325
2028,MD,0,0,0,0,55.25151399429655,48.64161724050923,565.4156463300109,488.58146076545677
2029,MD,0,0,0,0,45.05761943128491,45.05761943128491,492.16545857468117,492.16545857468117
2030,MD,0,0,0,0,43.62796303184932,41.47362162206059,522.9120488068149,495.74945638390545
2031,MD,0,0,0,0,49.14637347066044,41.47362162206059,608.2839143255343,495.7494563839055
2032,MD,0,0,0,0,53.42526464773498,41.473621622060584,696.4480821053489,495.74945638390557
2033,MD,0,0,0,0,57.62693555722514,43.16177953089532,812.0172008829487,516.7848619689057
2034,MD,0,0,0,0,60.45164270626602,46.01039144436905,913.9798396939652,556.6398967858515
2035,MD,0,0,0,0,62.85930479350444,48.51265301666422,1023.5259045597629,597.0892999625145
2036,MD,0,0,0,0,63.8070392678825,49.77889969341829,1074.2061787289672,619.8839969797833
2037,MD,0,0,0,0,64.64926847094135,50.892918494837474,1123.6503289721886,641.4274995410025
2038,MD,0,0,0,0,65.4251563306006,51.92354344501275,1173.406197268843,662.7360858487679
2039,MD,0,0,0,0,66.15577058690026,52.90338948056285,1224.4623085257865,684.3504676602839
2040,MD,0,0,0,0,66.85782727096628,53.86566421731712,1277.891342216115,706.9948077598534
2041,MD,0,0,0,0,67.17337228166426,54.43715413821864,1303.454644858199,721.1666472537122
2042,MD,0,0,0,0,67.62851970472691,55.25485904916851,1342.1826773316996,742.4613651415309
2043,MD,0,0,0,0,68.06062035819028,56.030333187019565,1381.141010352303,763.8516207763508
2044,MD,0,0,0,0,68.46430459734951,56.75207323931989,1419.6376767771073,784.8975734702163
2045,MD,0,0,0,0,68.81763373961557,57.38078896175231,1455.1375511723845,804.1993287894937
2046,MD,0,0,0,0,69.1320530453004,57.93788595022595,1488.2549626543175,822.1133047040412
2047,MD,0,0,0,0,69.40333124255625,58.41727922585174,1518.0640106811584,838.1800054046249
2048,MD,0,0,0,0,69.64731616878407,58.84978936931319,1545.9126397418381,853.223974625085
2049,MD,0,0,0,0,69.84231645918119,59.19391988890581,1568.9156994784753,865.5852095279113
2050,MD,0,0,0,0,70.00611087519948,59.48522310334977,1588.7732840740207,876.3322701986351
2025,MI,34401.23487481813,34401.23487481813,653623.4626215445,653623.4626215445,7529.096603098471,7324.073227154584,70073.9084702476,66171.54690672603
2026,MI,38975.2447807475,38975.2447807475,740529.6508342024,740529.6508342024,7360.342108143154,7010.112802970142,77362.41431980365,69229.34239520364
2027,MI,43230.137716495745,43230.137716495745,821372.616613419,821372.616613419,21171.946168107912,21171.946168107912,176338.11846078548,176338.11846078548
2028,MI,43230.137716495745,43230.137716495745,821372.6166134189,821372.6166134189,22552.283608196878,19854.28937354659,205593.87340012417,177655.77525534676
2029,MI,43230.137716495745,43230.137716495745,821372.6166134189,821372.6166134189,44669.82127298543,44669.82127298543,389218.39767853305,389218.39767853305
2030,MI,43230.13771649574,43230.13771649574,821372.6166134191,821372.6166134191,43945.21258104866,41775.20544236541,413597.2649440553,392113.0135091531
2031,MI,43230.13771649574,43230.13771649574,821372.6166134191,821372.6166134191,46467.111366061545,39212.64700877002,484266.39444278384,394675.57194274844
2032,MI,46004.75702508108,43230.13771649574,877706.002299394,821372.6166134191,47211.712045183784,36650.088575174625,558055.5469645914,397238.13037634385
2033,MI,51863.35866103286,43230.13771649574,1026335.715601583,821372.6166134191,48733.55392396579,36500.75940849655,653242.6983112183,415737.4219559433
2034,MI,55808.89084239555,43230.13771649574,1158448.5271066907,821372.6166134191,48823.76923171574,37160.292650044656,738175.8175288308,449570.21263909293
2035,MI,59089.45125579531,43230.13771649574,1297295.656969653,821372.6166134191,50768.31751647385,39181.24420890884,826650.6968176923,482239.1731147247
2036,MI,60380.78703565343,43230.13771649574,1361531.7444793473,821372.6166134191,51533.75526470529,40203.92833738927,867582.6202504502,500649.3101607219
2037,MI,61528.36658895079,43230.13771649574,1424201.0732059863,821372.6166134191,52213.98168055577,41103.665622355475,907516.1881943879,518048.9200042906
