State,Reg Year,Fraction_BEV,Fraction_PHEV,Fraction_FCEV
Wisconsin,2018,0.006461753405518687,0.009755040104053762,0
Wyoming,2018,3.4928396786587494e-4,4.3355733795794494e-4,0
Alabama,2019,0.002552322613578356,0.003354453969437197,0
Alaska,2019,8.933129147524247e-4,7.454342154304882e-4,0
Arizona,2019,0.024885145482388973,0.017890421170331718,0
Arkansas,2019,0.0011485451761102604,0.0018635855385762206,0
California,2019,0.4462736089841756,0.46086470368989935,0.9921875
Colorado,2019,0.02450229709035222,0.017331345508758852,0
Connecticut,2019,0.00880551301684533,0.010622437569884458,0
Delaware,2019,0.0016590096988259315,0.002422661200149087,0
District of Columbia,2019,0.002297090352220521,0.002422661200149087,0
Florida,2019,0.05142930066360388,0.0380171449869549,0
Georgia,2019,0.024247064828994386,0.015654118524040254,0
Hawaii,2019,0.011230219499744768,0.00540439806187104,0
Idaho,2019,0.002041858090862685,0.002795378307864331,0
Illinois,2019,0.024629913221031138,0.02161759224748416,0
Indiana,2019,0.006508422664624809,0.008758852031308237,0
Iowa,2019,0.002041858090862685,0.004472605292582929,0
Kansas,2019,0.00293517100561511,0.0039135296310100634,0
Kentucky,2019,0.0024247064828994383,0.003354453969437197,0
Louisiana,2019,0.0017866258295048494,0.0018635855385762206,0
Maine,2019,0.0016590096988259315,0.004099888184867686,0
Maryland,2019,0.016845329249617153,0.018635855385762207,0
Massachusetts,2019,0.01799387442572741,0.024040253447633247,0
Michigan,2019,0.008422664624808576,0.023108460678345134,0
Minnesota,2019,0.009826442062276671,0.01080879612374208,0
Mississippi,2019,6.38080653394589e-4,0.0011181513231457323,0
Missouri,2019,0.006253190403266973,0.009317927692881103,0
Montana,2019,8.933129147524247e-4,9.317927692881103e-4,0
Nebraska,2019,0.0016590096988259315,0.002049944092433843,0
Nevada,2019,0.010081674323634507,0.006708907938874394,0
New Hampshire,2019,0.0024247064828994383,0.004099888184867686,0
New Jersey,2019,0.0257784583971414,0.02180395080134178,0
New Mexico,2019,0.0024247064828994383,0.002981736861721953,0
New York,2019,0.029351710056151097,0.05218039508013418,0
North Carolina,2019,0.014803471158754467,0.015095042862467387,0
North Dakota,2019,2.5523226135783564e-4,3.727171077152441e-4,0
Ohio,2019,0.013016845329249618,0.0160268356317555,0
Oklahoma,2019,0.004338948443083206,0.002981736861721953,0
Oregon,2019,0.02399183256763655,0.019381289601192696,0
Pennsylvania,2019,0.015313935681470138,0.02087215803205367,0
Rhode Island,2019,0.001403777437468096,0.002422661200149087,0
South Carolina,2019,0.0038284839203675345,0.004845322400298174,0
South Dakota,2019,3.8284839203675346e-4,7.454342154304882e-4,0
Tennessee,2019,0.007274119448698315,0.006708907938874394,0
Texas,2019,0.04900459418070444,0.03373089824822959,0.0078125
Utah,2019,0.010209290454313425,0.008199776369735371,0
Vermont,2019,0.002169474221541603,0.003727171077152441,0
Virginia,2019,0.01914241960183767,0.018263138278046962,0
Washington,2019,0.0515569167942828,0.030003727171077153,0
West Virginia,2019,5.104645227156713e-4,0.0011181513231457323,0
Wisconsin,2019,0.0059979581419091375,0.00987700335445397,0
Wyoming,2019,2.5523226135783564e-4,3.727171077152441e-4,0
Alabama,2020,0.0028462066934929827,0.0035329744279946162,0
Alaska,2020,8.833055255667877e-4,6.729475100942127e-4,0
Arizona,2020,0.028265776818137207,0.018842530282637954,0
Arkansas,2020,0.0012758857591520267,0.0018506056527590848,0
California,2020,0.41741093335950535,0.44666890982503366,0.9859154929577465
Colorado,2020,0.024241829423888507,0.01816958277254374,0
Connecticut,2020,0.008833055255667877,0.010430686406460296,0
Delaware,2020,0.0018647561095298851,0.0025235531628532972,0
District of Columbia,2020,0.002355481401511434,0.0026917900403768506,0
Florida,2020,0.05712042398665227,0.03768506056527591,0
