State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Arkansas,2024,BEV,2,ACCII,US,0.002,AR,BEV.ACCII
Arkansas,2024,PHEV,3,ACCII,US,0.003,AR,PHEV.ACCII
Arkansas,2024,ICE,115780.076706308,ACCII,US,115.780076706308,AR,ICE.ACCII
Arkansas,2025,BEV,8,ACCII,US,0.008,AR,BEV.ACCII
Arkansas,2025,PHEV,6,ACCII,US,0.006,AR,PHEV.ACCII
Arkansas,2025,ICE,115041.255959603,ACCII,US,115.041255959603,AR,ICE.ACCII
Arkansas,2026,BEV,16,ACCII,US,0.016,AR,BEV.ACCII
Arkansas,2026,PHEV,17,ACCII,US,0.017,AR,PHEV.ACCII
Arkansas,2026,ICE,114264.425230508,ACCII,US,114.264425230508,AR,ICE.ACCII
Arkansas,2027,BEV,37,ACCII,US,0.037,AR,BEV.ACCII
Arkansas,2027,PHEV,32,ACCII,US,0.032,AR,PHEV.ACCII
Arkansas,2027,ICE,113430.234570207,ACCII,US,113.430234570207,AR,ICE.ACCII
Arkansas,2028,BEV,61,ACCII,US,0.061,AR,BEV.ACCII
Arkansas,2028,PHEV,51,ACCII,US,0.051,AR,PHEV.ACCII
Arkansas,2028,ICE,112550.773009416,ACCII,US,112.550773009416,AR,ICE.ACCII
Arkansas,2029,BEV,97,ACCII,US,0.097,AR,BEV.ACCII
Arkansas,2029,PHEV,83,ACCII,US,0.083,AR,PHEV.ACCII
Arkansas,2029,ICE,111637.260149586,ACCII,US,111.637260149586,AR,ICE.ACCII
Arkansas,2030,BEV,160,ACCII,US,0.16,AR,BEV.ACCII
Arkansas,2030,PHEV,112,ACCII,US,0.112,AR,PHEV.ACCII
Arkansas,2030,ICE,110687.085088152,ACCII,US,110.687085088152,AR,ICE.ACCII
Arkansas,2031,BEV,246,ACCII,US,0.246,AR,BEV.ACCII
Arkansas,2031,PHEV,144,ACCII,US,0.144,AR,PHEV.ACCII
Arkansas,2031,ICE,109699.181844735,ACCII,US,109.699181844735,AR,ICE.ACCII
Arkansas,2032,BEV,371,ACCII,US,0.371,AR,BEV.ACCII
Arkansas,2032,PHEV,186,ACCII,US,0.186,AR,PHEV.ACCII
Arkansas,2032,ICE,108648.610813997,ACCII,US,108.648610813997,AR,ICE.ACCII
Arkansas,2033,BEV,567,ACCII,US,0.567,AR,BEV.ACCII
Arkansas,2033,PHEV,244,ACCII,US,0.244,AR,PHEV.ACCII
Arkansas,2033,ICE,107550.394528176,ACCII,US,107.550394528176,AR,ICE.ACCII
Arkansas,2034,BEV,894,ACCII,US,0.894,AR,BEV.ACCII
Arkansas,2034,PHEV,325,ACCII,US,0.325,AR,PHEV.ACCII
Arkansas,2034,ICE,106395.899978418,ACCII,US,106.395899978418,AR,ICE.ACCII
Arkansas,2035,BEV,1365,ACCII,US,1.365,AR,BEV.ACCII
Arkansas,2035,PHEV,445,ACCII,US,0.445,AR,PHEV.ACCII
Arkansas,2035,ICE,105195.221377716,ACCII,US,105.19522137771601,AR,ICE.ACCII
Arkansas,2036,BEV,1981,ACCII,US,1.981,AR,BEV.ACCII
Arkansas,2036,PHEV,604,ACCII,US,0.604,AR,PHEV.ACCII
Arkansas,2036,ICE,103944.166371982,ACCII,US,103.944166371982,AR,ICE.ACCII
Arkansas,2037,BEV,3184,ACCII,US,3.184,AR,BEV.ACCII
Arkansas,2037,PHEV,860,ACCII,US,0.86,AR,PHEV.ACCII
Arkansas,2037,ICE,102630.990822802,ACCII,US,102.630990822802,AR,ICE.ACCII
Arkansas,2038,BEV,4828,ACCII,US,4.828,AR,BEV.ACCII
Arkansas,2038,PHEV,1207,ACCII,US,1.207,AR,PHEV.ACCII
