Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2046,6.919949033534879,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2046,7.908326426926576,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2046,4.36856623136895,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2046,5.2949750875822446,EoL batteries,Increase LIB Capacity,Policy Baseline
2046,3.5093000635073888,EoL batteries,Decrease LIB Capacity,Policy Baseline
2046,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2046,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2047,13.188352643229964,LIB demand,Increase LIB Capacity,Policy Baseline
2047,7.301066941846359,LIB demand,Decrease LIB Capacity,Policy Baseline
2047,12.77795350525183,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2047,7.055186779170349,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2047,8.066726491557805,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2047,4.45394186721923,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2047,5.996263367774328,EoL batteries,Increase LIB Capacity,Policy Baseline
2047,3.861025460058774,EoL batteries,Decrease LIB Capacity,Policy Baseline
2047,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2047,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2048,13.428269859664198,LIB demand,Increase LIB Capacity,Policy Baseline
2048,7.430984626992873,LIB demand,Decrease LIB Capacity,Policy Baseline
2048,13.012362914090058,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2048,7.181815918574836,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2048,8.214709232876173,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2048,4.533882886962142,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2048,6.7138042081115135,EoL batteries,Increase LIB Capacity,Policy Baseline
2048,4.20498224254898,EoL batteries,Decrease LIB Capacity,Policy Baseline
2048,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2048,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2049,13.626705504461585,LIB demand,Increase LIB Capacity,Policy Baseline
2049,7.537906262151327,LIB demand,Decrease LIB Capacity,Policy Baseline
2049,13.20598586129463,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2049,7.285863760921702,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2049,8.336943466781209,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2049,4.599568326019653,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2049,7.411433197489352,EoL batteries,Increase LIB Capacity,Policy Baseline
2049,4.530975953481016,EoL batteries,Decrease LIB Capacity,Policy Baseline
2049,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2049,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2050,13.800758542800864,LIB demand,Increase LIB Capacity,Policy Baseline
2050,7.632506036235054,LIB demand,Decrease LIB Capacity,Policy Baseline
2050,13.373132497341048,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2050,7.376324664152661,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2050,8.442463196244631,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2050,4.656676325688261,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2050,8.076157374029657,EoL batteries,Increase LIB Capacity,Policy Baseline
2050,4.836554376750088,EoL batteries,Decrease LIB Capacity,Policy Baseline
2050,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2050,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2025,0.0898160042360535,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2026,0.1016757138862862,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2027,0.1795810187035586,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2028,0.1960826458015885,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2029,0.2829989659411876,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2030,0.2786078358843512,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2031,0.2960383633084195,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2032,0.3032138769900049,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2033,0.3164531613158043,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2034,0.3212294503036241,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2035,0.3340233452943436,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2036,0.3390594404376557,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2037,0.3435348990325998,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2038,0.3476578313384536,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2039,0.3515401876389352,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2040,0.3552707939981423,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2041,0.3569475449646143,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2042,0.3593661187199704,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2043,0.3616622259748604,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2044,0.3638073333770107,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2045,0.3656848626064126,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2046,0.3673556317734434,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2047,0.3687971566399763,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2048,0.3700936498405889,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2049,0.3711298472587084,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2050,0.3720002221214068,Mfg. Scrap,Increase LIB Capacity,Policy Baseline
2025,0.0873702419656254,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2026,0.0968376487387482,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2027,0.1795810187035586,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2028,0.1726247176787186,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2029,0.2829989659411876,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2030,0.2648502282348922,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2031,0.2498207334219099,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2032,0.2353825982474498,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2033,0.2370190510478239,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2034,0.2444911683168743,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2035,0.2577877484162756,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2036,0.2645163616633784,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2037,0.2704360626208297,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2038,0.2759126232466948,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2039,0.2811193536065519,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2040,0.286232713159585,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2041,0.2892695105885196,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2042,0.2936146513869478,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2043,0.2977353852475141,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
