Geography,Scope,Mineral,Scenario effect,Year,Reference maximum RCS (%),Change (percentage points),Resulting maximum RCS (%)
North America,North America-origin / NA network,Cobalt,ΔChemistry,2045,33.703587877126566,8.793466266380563,42.49705414350713
North America,North America-origin / NA network,Cobalt,ΔChemistry,2050,56.671652828026865,7.342676054939147,64.01432888296601
North America,North America-origin / NA network,Lithium,ΔPolicy,2030,0.9856087322663003,0.29566385118117644,1.2812725834474767
North America,North America-origin / NA network,Lithium,ΔPolicy,2035,3.362622694972137,0.5874378163342606,3.950060511306398
North America,North America-origin / NA network,Lithium,ΔPolicy,2040,11.602588811762137,0.8409551623809826,12.44354397414312
North America,North America-origin / NA network,Lithium,ΔPolicy,2045,25.393416483220086,-1.1529659599122866,24.2404505233078
North America,North America-origin / NA network,Lithium,ΔPolicy,2050,43.4336011016753,-1.82996335438569,41.60363774728961
North America,North America-origin / NA network,Lithium,ΔCapacity,2030,0.9856087322663003,0.2987206854268669,1.2843294176931672
North America,North America-origin / NA network,Lithium,ΔCapacity,2035,3.362622694972137,1.7722641358088027,5.13488683078094
North America,North America-origin / NA network,Lithium,ΔCapacity,2040,11.602588811762137,5.866118940718886,17.468707752481023
North America,North America-origin / NA network,Lithium,ΔCapacity,2045,25.393416483220086,7.199230086819888,32.592646570039975
North America,North America-origin / NA network,Lithium,ΔCapacity,2050,43.4336011016753,4.710152495713636,48.14375359738894
North America,North America-origin / NA network,Lithium,ΔChemistry,2030,0.9856087322663003,0.013904827835039102,0.9995135601013394
North America,North America-origin / NA network,Lithium,ΔChemistry,2035,3.362622694972137,0.06771358361323276,3.43033627858537
North America,North America-origin / NA network,Lithium,ΔChemistry,2040,11.602588811762137,0.2280585816255325,11.83064739338767
North America,North America-origin / NA network,Lithium,ΔChemistry,2045,25.393416483220086,0.29256218091760644,25.685978664137693
North America,North America-origin / NA network,Lithium,ΔChemistry,2050,43.4336011016753,0.19552536247159935,43.6291264641469
North America,North America-origin / NA network,Graphite,ΔPolicy,2030,1.0941171518102084,0.31802509763231623,1.4121422494425246
North America,North America-origin / NA network,Graphite,ΔPolicy,2035,3.783589912058523,0.6530653923289487,4.436655304387472
North America,North America-origin / NA network,Graphite,ΔPolicy,2040,12.867626088450706,0.9902142336981683,13.857840322148874
North America,North America-origin / NA network,Graphite,ΔPolicy,2045,28.257086003056763,-1.1790406693150324,27.07804533374173
North America,North America-origin / NA network,Graphite,ΔPolicy,2050,48.3666470877455,-1.9213450293756082,46.44530205836989
North America,North America-origin / NA network,Graphite,ΔCapacity,2030,1.0941171518102084,0.3232029949555999,1.4173201467658083
North America,North America-origin / NA network,Graphite,ΔCapacity,2035,3.783589912058523,1.9381634059654846,5.721753318024008
North America,North America-origin / NA network,Graphite,ΔCapacity,2040,12.867626088450706,6.318348842823383,19.18597493127409
North America,North America-origin / NA network,Graphite,ΔCapacity,2045,28.257086003056763,7.819775139567888,36.07686114262465
North America,North America-origin / NA network,Graphite,ΔCapacity,2050,48.3666470877455,5.160347873219855,53.526994960965354
North America,North America-origin / NA network,Graphite,ΔChemistry,2030,1.0941171518102084,-0.007502560590752827,1.0866145912194556
North America,North America-origin / NA network,Graphite,ΔChemistry,2035,3.783589912058523,-0.038695727342749286,3.7448941847157737
North America,North America-origin / NA network,Graphite,ΔChemistry,2040,12.867626088450706,-0.140254161291141,12.727371927159565
North America,North America-origin / NA network,Graphite,ΔChemistry,2045,28.257086003056763,-0.1970035662464653,28.060082436810298
North America,North America-origin / NA network,Graphite,ΔChemistry,2050,48.3666470877455,-0.15101124076488048,48.21563584698062
North America,North America-origin / NA network,Copper,ΔPolicy,2030,1.1785604861829408,0.3289718674340891,1.50753235361703
North America,North America-origin / NA network,Copper,ΔPolicy,2035,4.113489316854729,0.7059487926541781,4.819438109508907
North America,North America-origin / NA network,Copper,ΔPolicy,2040,13.71184277023911,1.1867604512000334,14.898603221439144
North America,North America-origin / NA network,Copper,ΔPolicy,2045,30.045666302211625,-1.0274152927752667,29.01825100943636
North America,North America-origin / NA network,Copper,ΔPolicy,2050,50.89507215113726,-1.7645614032054908,49.13051074793177
North America,North America-origin / NA network,Copper,ΔCapacity,2030,1.1785604861829408,0.33690656816768705,1.515467054350628
