Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand,Capacity key,Chemistry key,Percent
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0133047770321177,Decreasing Batt Cap,Benchmark Chemistry,1.3304777032117698
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0178153051842757,Decreasing Batt Cap,Benchmark Chemistry,1.7815305184275698
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0178153051842757,Decreasing Batt Cap,Benchmark Chemistry,1.7815305184275698
2031,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0240874267418271,Decreasing Batt Cap,Benchmark Chemistry,2.40874267418271
2031,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0240874267418271,Decreasing Batt Cap,Benchmark Chemistry,2.40874267418271
2032,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0326291564287563,Decreasing Batt Cap,Benchmark Chemistry,3.26291564287563
2032,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0326291564287563,Decreasing Batt Cap,Benchmark Chemistry,3.26291564287563
2033,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0411830329254135,Decreasing Batt Cap,Benchmark Chemistry,4.118303292541349
2033,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0411830329254135,Decreasing Batt Cap,Benchmark Chemistry,4.118303292541349
2034,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0521073078300033,Decreasing Batt Cap,Benchmark Chemistry,5.21073078300033
2034,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0521073078300033,Decreasing Batt Cap,Benchmark Chemistry,5.21073078300033
2035,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0669459507465689,Decreasing Batt Cap,Benchmark Chemistry,6.694595074656889
2035,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0669459507465689,Decreasing Batt Cap,Benchmark Chemistry,6.694595074656889
2036,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0893413686506388,Decreasing Batt Cap,Benchmark Chemistry,8.93413686506388
2036,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0893413686506388,Decreasing Batt Cap,Benchmark Chemistry,8.93413686506388
2037,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1088281317013461,Decreasing Batt Cap,Benchmark Chemistry,10.882813170134611
