"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2049,"NY",10383.944364873,8286.3030879435,263704.020971756,163894.103474808,184.639321035625,158.169194002685,3577.28826243819,2223.3125247114
2050,"NY",10442.3295537977,8376.78686906733,268251.002509219,166614.353844305,185.376083505299,159.311008481219,3638.97053646477,2260.21419834472
2025,"OH",10424.4876925832,10424.4876925832,198065.266159081,198065.266159081,14450.0910046297,13954.4907094259,119250.297951699,113873.042038607
2026,"OH",18934.2735640797,18934.2735640797,359751.197717514,359751.197717514,13974.6082820593,13102.6235847352,125177.284210795,114618.291581985
2027,"OH",18983.2048328408,18983.2048328408,360680.891823975,360680.891823975,22846.1012940805,22846.1012940805,197415.360688366,197415.360688366
2028,"OH",19621.438773203,19621.438773203,372807.336690858,372807.336690858,21376.6621922985,21376.6621922985,198884.799790148,198884.799790148
2029,"OH",19621.438773203,19621.438773203,372807.336690858,372807.336690858,19907.2230905165,19907.2230905165,200354.23889193,200354.23889193
2030,"OH",19621.438773203,19621.438773203,372807.336690858,372807.336690858,18437.7839887346,18437.7839887346,201823.677993711,201823.677993711
2031,"OH",19621.438773203,19621.438773203,372807.336690858,372807.336690858,17720.9844268897,17720.9844268897,202540.477555556,202540.477555556
2032,"OH",19621.438773203,19621.438773203,372807.336690858,372807.336690858,19406.0651650655,17004.1848650448,236690.331986936,203257.277117401
2033,"OH",20645.3805241589,19621.438773203,393333.378267516,372807.336690858,21713.4497626464,17004.1848650448,281109.948208037,203257.277117401
2034,"OH",22562.3682811471,19621.438773203,438536.750572464,372807.336690858,22949.8645391553,17980.4505768493,312539.918876497,215637.743254475
2035,"OH",24226.1470320179,19621.438773203,487124.432583493,372807.336690858,24052.8827780164,19151.9951770419,347167.781135021,232642.513348648
2036,"OH",25002.8066983745,19621.438773203,513692.411305084,372807.336690858,24567.7768268379,19754.3722452914,366102.463128079,242474.037122285
2037,"OH",25620.0411045998,19621.438773203,536967.199329501,372807.336690858,24976.9783552038,20203.0308066322,382690.127335293,250354.180685652
2038,"OH",26142.1586262851,19621.438773203,558367.550336925,372807.336690858,25323.1212236269,20578.8236840267,397941.902606255,257359.727828116
2039,"OH",26599.0535495303,19621.438773203,578544.618533763,372807.336690858,25626.0241386441,20907.0584029958,412321.858788201,263807.509720218
2040,"OH",26990.9266270885,19903.0524839315,597049.105016165,378235.909965598,25885.8201912376,21186.845372283,425509.7859038,269564.227998019
2041,"OH",27219.1125280246,20248.6446304556,608379.847734684,385117.754607387,26037.0982445556,21415.9590333535,433585.07128281,274468.836706998
2042,"OH",27559.1669382594,20739.0160583517,626086.743879124,395323.77259757,26262.5406097125,21741.0555213947,446204.56526436,281742.544168323
2043,"OH",27889.2741571816,21218.171539484,644290.282151581,405832.767994738,26481.3883880366,22058.7162888871,459178.01017522,289232.180018948
2044,"OH",28210.2291333948,21682.6610017615,663033.576095259,416567.547016466,26694.1685984047,22366.6540771193,472536.132524117,296882.729169569
2045,"OH",28502.9163050047,22103.8570625675,681102.675015432,426804.807076247,26888.2083938988,22645.8900854902,485413.764109864,304178.702481782
2046,"OH",28794.5761313005,22522.5260634912,700115.362340615,437491.779915941,27081.5671008657,22923.4507550341,498963.879913111,311795.18073587
2047,"OH",29043.9388854804,22883.9888625566,717233.093979273,447158.512564634,27246.8845541683,23163.0860189357,511163.483368721,318684.545957552
2048,"OH",29273.1322853262,23225.7244182569,733721.48831496,456698.907262418,27398.8305386474,23389.6429157631,522914.565624318,325483.871626387
2049,"OH",29468.0365776072,23515.253347724,748351.441668463,465106.251184048,27528.0442271296,23581.5889240367,533341.159127148,331475.685502426
2050,"OH",29633.7247614389,23772.0323979717,761255.075736163,472825.903232624,27637.8888135173,23751.8230826545,542537.425436565,336977.389571395
2025,"ON",0,0,0,0,344.049785824516,332.249778795854,2839.29280837377,2711.26290568111
2026,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,332.728768620458,311.967228207982,2980.41152882845,2729.0069424282
2027,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,14961.0467156238,14961.0467156238,120687.780480883,120687.780480883
2028,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,14056.0872687946,14056.0872687946,121592.739927712,121592.739927712
2029,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,50569.1025429202,50569.1025429202,423530.263797345,423530.263797345
2030,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,47406.2244762798,47406.2244762798,426693.141863985,426693.141863985
2031,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,44261.2663986854,44261.2663986854,429838.09994158,429838.09994158
2032,"ON",15028.5000487005,15028.5000487005,285541.50092531,285541.50092531,46924.0816280618,41116.3083210911,504202.876279225,432983.058019174
2033,"ON",15812.7600019065,15028.5000487005,301262.856550654,285541.50092531,49620.1199488577,38858.3897012798,601949.264184677,435240.976638985
2034,"ON",17281.0239214006,15028.5000487005,335885.133272487,285541.50092531,49398.1840385478,38701.8234977305,672723.118069533,464147.093712377
2035,"ON",18555.3493838451,15028.5000487005,373099.528705417,285541.50092531,51772.3635404865,41223.5018139987,747257.48012599,500748.824463859
2036,"ON",19150.2104421282,15028.5000487005,393448.539505614,285541.50092531,52880.6415845962,42520.0817230966,788013.228562267,521910.579903454
2037,"ON",19622.9641179027,15028.5000487005,411275.221687358,285541.50092531,53761.4229230911,43485.7919191535,823717.164325357,538872.108427044
2038,"ON",20022.8656384166,15028.5000487005,427666.230515748,285541.50092531,54506.4743410993,44294.6631735452,856545.680609804,553951.12148369
2039,"ON",20372.8117078974,15028.5000487005,443120.299602309,285541.50092531,55158.4543959839,45001.168391814,887497.659464848,567829.578849007
2040,"ON",20672.9560873815,15244.1943061052,457293.300839188,289699.366954749,55717.6495579688,45603.3927830239,915883.868439276,580220.563922565
2041,"ON",20847.7287869256,15508.8910824681,465971.770826293,294970.326119859,56043.2663434641,46096.5459681329,933265.427822145,590777.435107136
2042,"ON",21108.1840868577,15884.4775577108,479533.87973405,302787.344210907,56528.5172879786,46796.296335685,960428.119136092,606433.64689889
2043,"ON",21361.0206098565,16251.4734877629,493476.377986918,310836.419493491,56999.5737864446,47480.0417681534,988352.668243003,622554.631382249
2044,"ON",21606.8472248872,16607.2363850277,507832.287214638,319058.427518262,57457.5702148589,48142.8590806287,1017105.21207935,639021.97193206
2045,"ON",21831.0228943494,16929.839895071,521671.815352231,326899.374611148,57875.2290429651,48743.8975620612,1044823.52884623,654726.109610177
2046,"ON",22054.411696993,17250.5078732707,536234.059013112,335084.766808847,58291.4218695463,49341.3299788233,1073989.32688615,671120.114632696
2047,"ON",22245.4042234154,17527.3603383802,549344.913611428,342488.734161132,58647.2576074476,49857.1302724652,1100248.22944609,685949.05318912
2048,"ON",22420.9485889717,17789.103265331,561973.744653893,349795.936443162,58974.3120740399,50344.7801784413,1125541.71747186,700584.18709826
2049,"ON",22570.2301579685,18010.8599662993,573179.154064842,356235.309722364,59252.4366596143,50757.9322572254,1147984.3242188,713481.20111193
2050,"ON",22697.1344542112,18207.5328002213,583062.33681491,362147.964371646,59488.8704339732,51124.3509035186,1167778.72670187,725323.283650624
2025,"PA",0,0,0,0,24.0834850077161,23.2574845157098,198.750496586164,189.788403397678
2026,"PA",0,0,0,0,23.2910138034321,21.8377059745587,208.628807017992,191.030485969974
2027,"PA",0,0,0,0,18.2789652674067,18.2789652674067,169.749112034681,169.749112034681
2028,"PA",0,0,0,0,17.0245660341782,17.0245660341782,171.00351126791,171.00351126791
2029,"PA",0,0,0,0,15.7701668009497,15.7701668009497,172.257910501138,172.257910501138
2030,"PA",0,0,0,0,14.5157675677212,14.5157675677212,173.512309734367,173.512309734367
2031,"PA",0,0,0,0,14.5157675677212,14.5157675677212,173.512309734367,173.512309734367
2032,"PA",0,0,0,0,16.56615318969,14.5157675677212,202.052722427872,173.512309734367
2033,"PA",0,0,0,0,18.5358717486006,14.5157675677212,239.971907006861,173.512309734367
2034,"PA",0,0,0,0,19.5913477773277,15.3491651265787,266.802369772619,184.081000339186
2035,"PA",0,0,0,0,20.5329487129408,16.3492641755236,296.362739993311,198.597267492749
2036,"PA",0,0,0,0,20.9724924131543,16.863488502078,312.526492914214,206.990031689755
2037,"PA",0,0,0,0,21.3218107910276,17.2464897129787,326.686694066714,213.716983512142
2038,"PA",0,0,0,0,21.6172986055351,17.5672885107545,339.706502224852,219.697328633758
2039,"PA",0,0,0,0,21.8758742646962,17.8474888806061,351.982074575294,225.201532687991
2040,"PA",0,0,0,0,22.0976513827638,18.0863314153636,363.24006113739,230.115804388553
2041,"PA",0,0,0,0,22.2267911843767,18.2819162479847,370.133597436545,234.302665481584
2042,"PA",0,0,0,0,22.4192419839009,18.559437640215,380.906336201283,240.511927948569
2043,"PA",0,0,0,0,22.60606325808,18.8306114661232,391.981228198358,246.905519528371
2044,"PA",0,0,0,0,22.7877049010772,19.0934851877848,403.384503374247,253.436476120364
2045,"PA",0,0,0,0,22.953348628938,19.3318573900526,414.37760350842,259.664746021034
