"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"NY",442780.848798771,294868.267057091,465384.864959921,307054.870646162,"US",10442.3295537977,8376.78686906733,268251.002509219,166614.353844305,185.376083505299,159.311008481219,3638.97053646477,2260.21419834472,10120,120,203015.086366142,208888.028319887,277913.370720358,288125.248359816
2050,"OH",310163.191853165,198931.183783144,327250.953514235,208184.928177787,"US",29633.7247614389,23772.0323979717,761255.075736163,472825.903232624,27637.8888135173,23751.8230826545,542537.425436565,336977.389571395,17600,54005.69026,134294.822011475,138685.706240145,189607.526710697,197192.045468917
2050,"OK",131731.961255874,82282.4452901229,139270.108477757,86337.8866918584,"US",0,0,0,0,0,0,0,0,45359,0,52850.2322144528,54720.8744806746,76719.4876112342,79975.4842118688
2050,"ON",397779.529224402,223104.389677643,424329.164261202,237351.737962922,"CA",22697.1344542112,18207.5328002213,583062.33681491,362147.964371646,59488.8704339732,51124.3509035186,1167778.72670187,725323.283650624,68000,32500,124521.790344398,130945.773566189,207019.789108924,218230.169410804
2050,"OR",140470.899852505,89590.5683499483,148248.770683318,93784.9617049106,"US",0,0,0,0,0,0,0,0,0,0,54978.9407328689,56789.3113094396,77973.5879904474,81114.0341797212
2050,"PA",315551.053037319,205417.171529091,332521.228295307,214630.670050551,"US",0,0,0,0,23.5933197188562,20.2759465339734,463.14170464097,287.663625243873,15000,20000,139623.956664388,143979.584635312,193893.107850786,201379.436642007
2050,"PE",4588.00276088598,2578.89779621757,4894.0114162106,2743.4061473009,"CA",0,0,0,0,0,0,0,0,0,0,1401.01189531626,1474.38931903892,2339.05084067161,2466.8193950009
2050,"QC",210431.513917694,118883.730465351,224520.42682119,126524.976652111,"CA",1606.5122390458,1288.73644139497,41269.3850014183,25632.9775145085,67.4094849110179,57.9312758113525,1323.26201325992,821.896072125353,0,0,71440.1303651802,75152.1236729428,117815.662426547,124217.728248192
2050,"RI",29746.65067468,19249.2602379115,31375.4452008797,20138.7285633084,"US",0,0,0,0,0,0,0,0,0,0,12783.9792011445,13203.6299319028,17961.3040387193,18680.6920153864
2050,"SC",182179.926635215,115224.403469897,192451.797185922,120780.628464429,"US",1914.9625889426,1536.17383814281,49193.1069216907,30554.5091972941,2359.33197188562,2027.59465339734,46314.170464097,28766.3625243873,21840,56445.69026,69678.4317751229,72049.211290085,99618.2845348128,103721.499678148
