State,Sale Year,Propulsion,Global Segment,Sales
Nevada,2015,BEV,Car,410.43881555476275
Nevada,2015,BEV,SUV,101.1630396004281
Nevada,2015,PHEV,Car,171.7259842519685
Nevada,2015,PHEV,SUV,71.05826771653543
New Hampshire,2015,BEV,Car,82.08776311095255
New Hampshire,2015,BEV,SUV,20.232607920085623
New Hampshire,2015,PHEV,Car,122.66141732283464
New Hampshire,2015,PHEV,SUV,50.75590551181102
New Jersey,2015,BEV,Car,861.9215126650017
New Jersey,2015,BEV,SUV,212.44238316089903
New Jersey,2015,PHEV,Car,674.6377952755905
New Jersey,2015,PHEV,SUV,279.15748031496065
New Mexico,2015,BEV,Car,102.60970388869069
New Mexico,2015,BEV,SUV,25.290759900107027
New Mexico,2015,PHEV,Car,73.59685039370079
New Mexico,2015,PHEV,SUV,30.453543307086615
New York,2015,BEV,Car,1251.8383874420263
New York,2015,BEV,SUV,308.5472707813057
New York,2015,PHEV,Car,1484.2031496062993
New York,2015,PHEV,SUV,614.1464566929134
North Carolina,2015,BEV,Car,595.136282554406
North Carolina,2015,BEV,SUV,146.68640742062078
North Carolina,2015,PHEV,Car,441.5811023622047
North Carolina,2015,PHEV,SUV,182.7212598425197
North Dakota,2015,BEV,Car,0
North Dakota,2015,BEV,SUV,0
North Dakota,2015,PHEV,Car,12.266141732283465
North Dakota,2015,PHEV,SUV,5.075590551181103
Ohio,2015,BEV,Car,533.5704602211915
Ohio,2015,BEV,SUV,131.51195148055655
Ohio,2015,PHEV,Car,539.7102362204724
Ohio,2015,PHEV,SUV,223.3259842519685
Oklahoma,2015,BEV,Car,123.13164466642883
Oklahoma,2015,BEV,SUV,30.348911880128433
Oklahoma,2015,PHEV,Car,85.86299212598425
Oklahoma,2015,PHEV,SUV,35.52913385826771
Oregon,2015,BEV,Car,1580.1894398858365
Oregon,2015,BEV,SUV,389.4777024616482
Oregon,2015,PHEV,Car,527.444094488189
Oregon,2015,PHEV,SUV,218.25039370078738
Pennsylvania,2015,BEV,Car,656.7021048876204
Pennsylvania,2015,BEV,SUV,161.860863360685
Pennsylvania,2015,PHEV,Car,662.371653543307
Pennsylvania,2015,PHEV,SUV,274.08188976377954
Rhode Island,2015,BEV,Car,61.56582233321441
Rhode Island,2015,BEV,SUV,15.174455940064217
Rhode Island,2015,PHEV,Car,73.59685039370079
Rhode Island,2015,PHEV,SUV,30.453543307086615
South Carolina,2015,BEV,Car,164.1755262219051
South Carolina,2015,BEV,SUV,40.46521584017125
South Carolina,2015,PHEV,Car,147.19370078740158
South Carolina,2015,PHEV,SUV,60.90708661417323
South Dakota,2015,BEV,Car,20.521940777738138
South Dakota,2015,BEV,SUV,5.058151980021406
South Dakota,2015,PHEV,Car,24.53228346456693
