Policy,Battery Capacity,Chemistry,Scenario,Scope,Year,Stage,Annual capacity gap (MT/year)
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2034,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2034,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2035,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2035,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2036,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2036,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2037,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2037,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2038,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2038,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2039,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2039,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2040,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2040,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2041,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2041,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2042,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2042,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2043,Preprocessing (black mass production),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2043,Materials recovery (refining),0.0
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2044,Preprocessing (black mass production),31845.508557714522
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2044,Materials recovery (refining),31845.508557714522
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2045,Preprocessing (black mass production),119860.63542142988
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2045,Materials recovery (refining),119860.63542142988
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2046,Preprocessing (black mass production),210367.23155880894
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2046,Materials recovery (refining),210367.23155880894
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2047,Preprocessing (black mass production),302344.0323964155
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2047,Materials recovery (refining),302344.0323964155
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2048,Preprocessing (black mass production),394708.1387870844
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2048,Materials recovery (refining),394708.1387870844
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2049,Preprocessing (black mass production),480427.5536772872
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,California-origin / US network,2049,Materials recovery (refining),480427.5536772872
