State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Manitoba,Car,2028,15150.289430114928,532,181,713,1649.966496585197,3389.831688177298,632.5080295591364,13101.916208963692,17124.255926700127
Manitoba,SUV,2028,24655.414151953424,747,235,982,3328.4885888392555,5626.455058435172,1049.839145355152,21746.608537002357,28422.90274079268
New Brunswick,Car,2028,12921.568980247448,441,149,590,2014.9519503499757,3009.6126361933725,561.5630312543659,11632.345263149686,15203.520930597424
New Brunswick,SUV,2028,15103.582897653221,458,142,600,2922.98932851738,3621.5016243261607,675.7352774878966,13997.335324356542,18294.5722261706
Newfoundland and Labrador,Car,2028,6988.663149497219,240,78,318,0,1411.9461697346521,263.45475876492094,5457.262220997645,7132.663149497219
Newfoundland and Labrador,SUV,2028,10736.019331219513,323,96,419,0,2162.266040523742,403.456796230992,8357.29649446478,10923.019331219513
Northwest Territories,Car,2028,218.4653130741373,6,0,6,0,43.84016095673265,8.180127030793168,169.44502508661148,221.4653130741373
Northwest Territories,SUV,2028,859.98480828019,27,7,34,0,173.207597601789,32.31877165048476,669.4584390279163,874.98480828019
Nova Scotia,Car,2028,15621.825224357217,531,179,710,2539.4587570718695,3658.6601005216994,682.6686702701494,14140.955210637238,18482.283981429086
Nova Scotia,SUV,2028,15689.524508245871,474,147,621,3164.7864737824293,3787.138225500169,706.6413784004694,14637.53137812766,19131.3109820283
Nunavut,Car,2028,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2028,0,0,0,0,0,0,0,0,0
Ontario,Car,2028,214052.00387517214,8472,3312,11784,29098.253420474313,49239.76782283574,9187.63861645223,190314.8508563585,248742.25729564647
Ontario,SUV,2028,236953.03872136207,7433,2484,9917,39726.04536080613,55660.79912343824,10385.73758692513,215132.5473718048,281179.0840821682
Prince Edward Island,Car,2028,2515.4183397714673,87,28,115,653.9361486026959,637.8811086442347,119.02211089970196,2465.4512688302266,3222.3544883741633
Prince Edward Island,SUV,2028,2626.670709594311,79,23,102,846.8112256372157,696.6989655540851,129.99692327952974,2692.786046397912,3519.4819352315267
Quebec,Car,2028,158550.17457047422,7152,3306,10458,10738.896980189089,34529.69671253867,6442.88933432736,133459.48550379727,174432.0715506633
Quebec,SUV,2028,126931.80718405031,4127,1435,5562,10494.820044071339,27709.465933967855,5170.303811589521,107098.85748256427,139978.62722812165
Saskatchewan,Car,2028,12534.489147657403,429,140,569,1455.0232687851812,2820.1680377813996,526.2146008086619,10900.129777852522,14246.512416442583
Saskatchewan,SUV,2028,26478.600946866645,802,248,1050,3813.1758480353724,6089.446818031196,1136.228686931967,23536.10128993885,30761.776794902016
Yukon,Car,2028,519.3065779941242,17,4,21,74.22581055042355,119.27428511838727,22.255365456764213,461.00273796939626,602.5323885445478
Yukon,SUV,2028,1156.8160254282152,33,10,43,204.69563318630682,273.2791536345307,50.99110365503342,1056.241401324958,1380.511658614522
Alberta,Car,2029,53281.1272761995,2561,758,3319,13672.370115931137,16173.497992506625,3271.9907023309815,49081.00869729303,68526.49739213064
Alberta,SUV,2029,100115.66824375323,4260,1230,5490,31329.08407699179,31631.567708883224,6399.246192231932,95990.93841962986,134021.75232074503
