State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
New Brunswick,SUV,2028,15997.15603850736,8,1,9,2922.98932851738,8251.679302995673,1401.9557160937939,9275.510347935273,18929.14536702474
Newfoundland and Labrador,Car,2028,6665.667451102169,3,6,9,0,2909.651449800009,494.3481601868375,3270.667841115323,6674.667451102169
Newfoundland and Labrador,SUV,2028,11374.006282326663,3,0,3,0,4959.5164202958695,842.6190765764022,5574.870785454393,11377.006282326663
Northwest Territories,Car,2028,208.3923436147277,0,0,0,0,90.84334001174686,15.434232853945819,102.11477074903505,208.3923436147277
Northwest Territories,SUV,2028,911.0988021077433,0,0,0,0,397.1703414266875,67.47901972195201,446.4494409591038,911.0988021077433
Nova Scotia,Car,2028,14896.983017871065,13,11,24,2539.4587570718695,7611.43534068087,1293.1786236132464,8555.82781064882,17460.441774942934
Nova Scotia,SUV,2028,16618.40332651968,9,1,10,3164.7864737824293,8628.337489548772,1465.9497321312244,9698.902578622117,19793.189800302112
Nunavut,Car,2028,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2028,0,0,0,0,0,0,0,0,0
Ontario,Car,2028,204126.07860508704,776,582,1358,29098.253420474313,102260.19909994671,17373.950852042086,114948.18207357258,234582.33202556137
Ontario,SUV,2028,251021.4791704747,304,140,444,39726.04536080613,126937.53624864253,21566.616684441553,142687.37159819674,291191.5245312808
Prince Edward Island,Car,2028,2398.415610177655,0,0,0,653.9361486026959,1330.5950873654856,226.06736399233787,1495.6893074225275,3052.351758780351
Prince Edward Island,SUV,2028,2781.734368512294,0,0,0,846.8112256372157,1581.7721296270986,268.7422035274081,1778.0312609950033,3628.5455941495097
Quebec,Car,2028,151181.1285402563,1055,920,1975,10738.896980189089,71445.86634676876,12138.61288571435,80310.54628796226,163895.02552044537
Quebec,SUV,2028,134470.69482517184,318,133,451,10494.820044071339,63390.6297825056,10770.032681481662,71255.85240525591,145416.51486924317
Saskatchewan,Car,2028,11953.828742328837,10,8,18,1455.0232687851812,5853.094510938813,994.437496312886,6579.320003862319,13426.852011114017
Saskatchewan,SUV,2028,28048.66035759941,11,3,14,3813.1758480353724,13895.459767661938,2360.8308725658685,15619.545565406974,31875.83620563478
Yukon,Car,2028,495.2077321482061,0,0,0,74.22581055042355,248.23006467599095,42.174149685203794,279.029328337435,569.4335426986297
Yukon,SUV,2028,1225.2486341347835,0,0,0,204.69563318630682,623.347820850159,105.90644745951644,700.689999011415,1429.9442673210904
Alberta,Car,2029,50085.96624541609,131,89,220,13672.370115931137,31916.500531131696,5829.886306260158,26231.94952395538,63978.33636134723
Alberta,SUV,2029,107110.643574964,116,47,163,31329.08407699179,69143.93656213532,12629.871139266175,56828.91995055429,138602.7276519558
British Columbia,Car,2029,63209.01092599999,1175,392,1567,10640.584452903158,37622.63827668275,6872.172702037607,30921.784400182787,75416.59537890315
British Columbia,SUV,2029,92407.9653678751,421,127,548,16318.587215806347,54513.160452908116,9957.405177468654,44803.98695330468,109274.55258368145
Manitoba,Car,2029,14118.48850767555,33,25,58,1649.966496585197,7895.251553533571,1442.151180438093,6489.052270289085,15826.455004260748
Manitoba,SUV,2029,26590.74968985418,21,7,28,3328.4885888392555,14939.60457223304,2728.876746109696,12278.7569603507,29947.238278693436
New Brunswick,Car,2029,12043.252910341756,20,18,38,1838.6436546943528,6944.137834438649,1268.4202025936042,5707.3385280038565,13919.89656503611
New Brunswick,SUV,2029,16289.029418552465,14,4,18,2667.2277622721094,9465.577316191167,1728.9877855713955,7779.6920790620115,18974.257180824574
Newfoundland and Labrador,Car,2029,6510.997637446381,6,8,14,0,3255.0876187991757,594.5761727857392,2675.333845861466,6524.997637446381
Newfoundland and Labrador,SUV,2029,11576.49657340844,9,0,9,0,5779.589288633208,1055.7030967961161,4750.204187979117,11585.49657340844
Northwest Territories,Car,2029,203.557177611166,0,0,0,0,101.54738520627642,18.548703667344217,83.46108873754537,203.557177611166
Northwest Territories,SUV,2029,927.3186518710028,0,0,0,0,462.60606211777326,84.49988883031575,380.2127009229138,927.3186518710028
Nova Scotia,Car,2029,14560.231170093444,21,21,42,2394.3468280963343,8478.984005504426,1548.7760851623793,6968.8179075229755,16996.57799818978
Nova Scotia,SUV,2029,16921.525853276115,14,5,19,2983.9415324234333,9939.603154207507,1815.5736172219986,8169.290614270043,19924.467385699547
Nunavut,Car,2029,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2029,0,0,0,0,0,0,0,0,0
Ontario,Car,2029,199470.8158512325,1234,943,2177,29344.091198988306,115233.58910766541,21048.63352749806,94709.68441505736,230991.90705022082
Ontario,SUV,2029,255564.41718197524,508,224,732,40061.672472149345,147842.43642142531,27004.984294462185,121510.66893823708,296358.0896541246
Prince Edward Island,Car,2029,2345.134598117152,2,2,4,630.5812861525997,1486.473531693353,271.52010849636764,1221.7222440800313,2979.7158842697518
Prince Edward Island,SUV,2029,2833.2544152153127,1,0,1,816.5679675787437,1821.264527126887,332.67322388360645,1496.884631783563,3650.8223827940565
Quebec,Car,2029,147706.72170554905,1670,1494,3164,10204.918677306758,80354.86782269215,14677.666278103305,66043.10628206037,161075.6403828558
Quebec,SUV,2029,136884.13674805927,514,209,723,9972.978163426907,73622.4335274,13447.915965482543,60509.76541860364,147580.1149114862
Saskatchewan,Car,2029,11681.25363884384,18,13,31,1488.8610192220456,6585.56328529731,1202.9227696349549,5412.628603133621,13201.114658065886
Saskatchewan,SUV,2029,28556.341362000258,21,5,26,3901.854356129218,16205.201773852958,2960.051457377564,13318.942486898954,32484.195718129475
Yukon,Car,2029,484.0046320175339,0,0,0,92.78226318802943,287.7383235350903,52.558447331255636,236.49012433921735,576.7868952055633
Yukon,SUV,2029,1247.5775496148906,0,0,0,255.86954148288353,750.0159055486272,136.99833579719254,616.4328497519543,1503.447091097774
Alberta,Car,2030,48757.190740426006,213,141,354,14310.414054674591,36626.24304168208,6499.469938787534,20295.89181463098,63421.6047951006
Alberta,SUV,2030,109265.18528034457,203,77,280,32791.10800058474,82199.80696171515,14586.67692762817,45549.80939158598,142336.2932809293
British Columbia,Car,2030,61489.055722194615,1863,641,2504,10195.540996698082,42844.226082361965,7602.875325105683,23741.49531142505,74188.5967188927
British Columbia,SUV,2030,94224.84633813817,677,222,899,15636.060754308743,63964.311365950714,11350.716981949827,35444.87874454637,110759.90709244691
Manitoba,Car,2030,13731.279440129869,53,41,94,1718.006352114484,8976.312802747689,1592.8817803184904,4974.091209178174,15543.285792244353
Manitoba,SUV,2030,27110.830722500214,36,12,48,3465.7458502346894,17685.821546544055,3138.4181378829417,9800.336888307907,30624.576572734903
New Brunswick,Car,2030,11716.965722114304,29,32,61,1712.7091577974795,7790.921383088923,1382.529441177375,4317.224055645485,13490.674879911783
New Brunswick,SUV,2030,16610.865137568653,25,7,32,2484.540929239773,11046.157309062437,1960.18377554217,6121.06498220382,19127.406066808428
Newfoundland and Labrador,Car,2030,6329.959892909936,14,12,26,0,3670.5935233428,651.3611629597024,2034.0052066074334,6355.959892909936
Newfoundland and Labrador,SUV,2030,11799.95362367865,14,4,18,0,6824.917834775756,1211.1083370286824,3781.9274518742113,11817.95362367865
Northwest Territories,Car,2030,197.89753950222726,0,0,0,0,114.28665992569448,20.2806143602047,63.33026521632808,197.89753950222726
Northwest Territories,SUV,2030,945.2172401664384,0,0,0,0,545.8669246445554,96.86621866370795,302.484096858175,945.2172401664384
Nova Scotia,Car,2030,14165.56892260729,38,37,75,2031.5670056574957,9397.226816341203,1667.574616683173,5207.334495240411,16272.135928264786
Nova Scotia,SUV,2030,17255.843363355398,26,9,35,2531.8291790259436,11447.67661774815,2031.4349457393328,6343.560978893858,19822.67254238134
Nunavut,Car,2030,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2030,0,0,0,0,0,0,0,0,0
Ontario,Car,2030,194019.58543517883,2028,1587,3615,29433.486754811576,131132.76502393506,23270.02153328182,72665.2856327735,227068.0721899904
Ontario,SUV,2030,260577.08163587993,842,419,1261,40183.71869445597,174418.85771455296,30951.307814543856,96651.6348012391,302021.8003303359
Prince Edward Island,Car,2030,2282.677250741478,8,4,12,513.8069739021182,1621.9114310155837,287.8145207867744,898.7582728412383,2808.4842246435965
