State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
New Brunswick,2037,28686.271197646245,949,321,1270,2468.9706394336777,16988.530466938028,2863.7847726153,12572.926597526597,32425.241837079924
New Brunswick,2038,28602.9552401531,1456,422,1878,2468.9706394336777,17880.061618052918,2865.754089204305,12204.110172329558,32949.92587958678
New Brunswick,2039,28598.261682838107,2141,563,2704,2530.69490541952,18897.87203571159,2889.542856656458,12045.54169588958,33832.95658825763
New Brunswick,2040,28248.491437901623,2996,711,3707,2530.69490541952,19723.77408050993,2887.7189755016852,11874.693287309525,34486.18634332114
New Brunswick,2041,27953.24074979129,3997,887,4884,2530.69490541952,20634.88806796183,2904.6193431014626,11828.428244147513,35367.93565521081
New Brunswick,2042,27549.35458791368,5108,1085,6193,2592.4191714053613,21573.109680226815,2928.553542817596,11833.110536274631,36334.77375931904
New Brunswick,2043,27023.70139202797,6287,1301,7588,2654.1434373912034,22465.670803050103,2950.848330563424,11849.325695805645,37265.84482941918
New Brunswick,2044,26368.86799877701,7508,1540,9048,2654.1434373912034,23248.818429818923,2961.7846476023415,11860.40835874695,38071.01143616821
New Brunswick,2045,25590.734424415146,8784,1793,10577,2715.8677033770455,24030.24169544348,2974.6413257703925,11878.719106578319,38883.6021277922
New Brunswick,2046,24712.61011529834,10047,2031,12078,2777.5919693628875,24947.600858090584,2976.6815021799384,11643.919724390702,39568.20208466123
New Brunswick,2047,23746.511816716007,11284,2253,13537,2839.316235348729,25571.31196571079,2971.7844986624596,11579.731587691485,40122.82805206474
New Brunswick,2048,22728.995586954363,12491,2438,14929,2839.316235348729,26075.37590725762,2954.6596582353723,11467.276256810102,40497.31182230309
New Brunswick,2049,21683.57043188789,13633,2587,16220,2839.316235348729,26488.440795643655,2931.354780591917,11323.09109100105,40742.88666723662
New Brunswick,2050,20638.28958018127,14721,2688,17409,2839.316235348729,26807.00017725295,2897.287740170453,11182.317898106598,40886.60581553
Newfoundland and Labrador,2020,17779.517534047547,0,0,0,0,28.68663460419661,18.49286873012779,23736,23783.179503334326
Newfoundland and Labrador,2021,17784.57354267115,0,0,0,0,59.205410041046704,50.9674035453598,24848,24958.172813586407
Newfoundland and Labrador,2022,17802.198397374857,0,0,0,0,163.3478936199034,68.59556617726929,22282,22513.94345979717
Newfoundland and Labrador,2023,17819.901823793578,0,0,0,0,341.705923995631,155.0338946816726,24732,25228.739818677303
Newfoundland and Labrador,2024,17856.377804446034,0,0,0,0,475.017681873926,277.8047636159347,26009,26761.82244548986
Newfoundland and Labrador,2025,17912.52301529222,0,0,0,0,1642.6277753876934,326.96531669272247,15942.929923211806,17912.52301529222
Newfoundland and Labrador,2026,17958.721046233703,0,0,0,0,2160.0761863100547,433.8508443358513,15364.794015587799,17958.721046233703
Newfoundland and Labrador,2027,18018.279167713863,0,1,1,0,2860.5253264677795,634.5510231154179,14524.202818130665,18019.279167713863
